,filename,number_performers,length_seconds,performance_context,performance_type,instruments,notes,touch_orientation,video_location,flux,number_performers,length_seconds,entropy,filename
2014-05-05 20:42:54.146521,2014-05-05T20-39-43-MetatoneOSCLog,3.0,430.95197,performance,composition,iPad,Outpost 186 Boston study in bowls,portrait,,0.25831399845320957,3,430.95197,3.6298395369185124,2014-05-05T20-39-43-MetatoneOSCLog
2014-05-05 21:06:10.346007,2014-05-05T21-05-37-MetatoneOSCLog,3.0,353.012787,performance,improvisation,iPad,Outpost 186 Boston metalonsdale iPads alone,,,0.26936182628071514,3,353.012787,4.390575095769739,2014-05-05T21-05-37-MetatoneOSCLog
2014-05-05 21:13:50.836545,2014-05-05T21-12-48-MetatoneOSCLog,3.0,809.592437,performance,improvisation,percussion,Outpost 186 Boston BirdsNest with percussion,,,0.3103244309881506,3,809.592437,4.606308094400719,2014-05-05T21-12-48-MetatoneOSCLog
2014-05-05 21:34:11.403789,2014-05-05T21-34-04-MetatoneOSCLog,3.0,505.776848,demonstration,improvisation,iPad,Outpost 186 Boston show and tell,,,0.3279420275995909,3,505.776848,4.661517592583778,2014-05-05T21-34-04-MetatoneOSCLog
2014-07-11 17:55:54.025469,2014-07-11T17-55-17-MetatoneOSCLog,2.0,316.907735,performance,improvisation,iPad,ACMC duo,,,0.2950482539538257,2,316.907735,4.465686793547927,2014-07-11T17-55-17-MetatoneOSCLog
2014-07-19 13:42:20.190750,2014-07-19T13-42-16-MetatoneOSCLog,4.0,481.863443,demonstration,improvisation,iPad,2014 iPad Study Session.,,,0.3896230846411898,4,481.863443,4.25166891328259,2014-07-19T13-42-16-MetatoneOSCLog
2014-07-19 13:58:19.311375,2014-07-19T13-58-10-MetatoneOSCLog,3.0,304.681904,study,improvisation,iPad,2014 iPad Study Session.,,,0.3333722316992399,3,304.681904,4.687441625323441,2014-07-19T13-58-10-MetatoneOSCLog
2014-07-19 14:06:09.653339,2014-07-19T14-06-01-MetatoneOSCLog,3.0,299.570147,study,improvisation,iPad,2014 iPad Study Session.,,,0.31943345767326925,3,299.570147,4.4722626766917974,2014-07-19T14-06-01-MetatoneOSCLog
2014-07-19 14:13:35.436289,2014-07-19T14-13-30-MetatoneOSCLog,3.0,306.748271,study,improvisation,iPad,2014 iPad Study Session.,,,0.25754550462000025,3,306.748271,4.437797532862661,2014-07-19T14-13-30-MetatoneOSCLog
2014-07-19 14:40:09.285000,2014-07-19T14-39-52-MetatoneOSCLog,3.0,322.032841,study,improvisation,iPad,2014 iPad Study Session.,,,0.10041407867494824,3,322.032841,2.654206442679217,2014-07-19T14-39-52-MetatoneOSCLog
