time,jonathan,charles_ipadair
2014-03-13 16:18:20,7,0
2014-03-13 16:18:21,7,0
2014-03-13 16:18:22,7,0
2014-03-13 16:18:23,7,0
2014-03-13 16:18:24,7,0
2014-03-13 16:18:25,7,0
2014-03-13 16:18:26,7,0
2014-03-13 16:18:27,7,0
2014-03-13 16:18:28,7,0
2014-03-13 16:18:29,7,0
2014-03-13 16:18:30,7,0
2014-03-13 16:18:31,7,0
2014-03-13 16:18:32,8,0
2014-03-13 16:18:33,7,0
2014-03-13 16:18:34,7,0
2014-03-13 16:18:35,4,0
2014-03-13 16:18:36,4,0
2014-03-13 16:18:37,7,0
2014-03-13 16:18:38,4,0
2014-03-13 16:18:39,4,0
2014-03-13 16:18:40,7,0
2014-03-13 16:18:41,7,0
2014-03-13 16:18:42,7,0
2014-03-13 16:18:43,7,0
2014-03-13 16:18:44,7,0
2014-03-13 16:18:45,7,0
2014-03-13 16:18:46,7,0
2014-03-13 16:18:47,7,0
2014-03-13 16:18:48,7,0
2014-03-13 16:18:49,7,0
2014-03-13 16:18:50,7,0
2014-03-13 16:18:51,7,0
2014-03-13 16:18:52,7,0
2014-03-13 16:18:53,7,2
2014-03-13 16:18:54,8,2
2014-03-13 16:18:55,7,8
2014-03-13 16:18:56,7,8
2014-03-13 16:18:57,7,3
2014-03-13 16:18:58,7,3
2014-03-13 16:18:59,7,3
2014-03-13 16:19:00,7,8
2014-03-13 16:19:01,7,8
2014-03-13 16:19:02,7,2
2014-03-13 16:19:03,7,0
2014-03-13 16:19:04,7,0
2014-03-13 16:19:05,7,0
2014-03-13 16:19:06,7,0
2014-03-13 16:19:07,7,0
2014-03-13 16:19:08,7,0
2014-03-13 16:19:09,7,0
2014-03-13 16:19:10,7,0
2014-03-13 16:19:11,7,0
2014-03-13 16:19:12,7,0
2014-03-13 16:19:13,7,0
2014-03-13 16:19:14,7,0
2014-03-13 16:19:15,7,0
2014-03-13 16:19:16,7,0
2014-03-13 16:19:17,7,0
2014-03-13 16:19:18,7,0
2014-03-13 16:19:19,7,0
2014-03-13 16:19:20,7,0
2014-03-13 16:19:21,7,0
2014-03-13 16:19:22,7,0
2014-03-13 16:19:23,7,0
2014-03-13 16:19:24,7,0
2014-03-13 16:19:25,7,0
2014-03-13 16:19:26,7,0
2014-03-13 16:19:27,7,0
2014-03-13 16:19:28,7,0
2014-03-13 16:19:29,7,0
2014-03-13 16:19:30,7,0
2014-03-13 16:19:31,7,0
2014-03-13 16:19:32,7,0
2014-03-13 16:19:33,4,0
2014-03-13 16:19:34,4,0
2014-03-13 16:19:35,4,0
2014-03-13 16:19:36,4,0
2014-03-13 16:19:37,4,0
2014-03-13 16:19:38,4,0
2014-03-13 16:19:39,4,0
2014-03-13 16:19:40,4,0
2014-03-13 16:19:41,7,0
2014-03-13 16:19:42,5,0
2014-03-13 16:19:43,6,0
2014-03-13 16:19:44,4,0
2014-03-13 16:19:45,4,0
2014-03-13 16:19:46,4,0
2014-03-13 16:19:47,4,0
2014-03-13 16:19:48,4,0
2014-03-13 16:19:49,7,0
2014-03-13 16:19:50,2,0
2014-03-13 16:19:51,0,0
2014-03-13 16:19:52,0,0
2014-03-13 16:19:53,0,0
2014-03-13 16:19:54,0,0
2014-03-13 16:19:55,0,0
2014-03-13 16:19:56,0,0
2014-03-13 16:19:57,0,0
2014-03-13 16:19:58,0,0
2014-03-13 16:19:59,0,0
2014-03-13 16:20:00,0,0
2014-03-13 16:20:01,0,0
2014-03-13 16:20:02,0,0
2014-03-13 16:20:03,0,0
2014-03-13 16:20:04,0,0
2014-03-13 16:20:05,0,0
2014-03-13 16:20:06,0,0
2014-03-13 16:20:07,0,0
2014-03-13 16:20:08,0,0
2014-03-13 16:20:09,0,0
2014-03-13 16:20:10,0,0
2014-03-13 16:20:11,0,0
2014-03-13 16:20:12,0,0
2014-03-13 16:20:13,0,0
2014-03-13 16:20:14,0,0
2014-03-13 16:20:15,0,0
2014-03-13 16:20:16,0,0
2014-03-13 16:20:17,0,0
2014-03-13 16:20:18,0,0
2014-03-13 16:20:19,0,0
2014-03-13 16:20:20,0,0
2014-03-13 16:20:21,0,0
2014-03-13 16:20:22,0,0
2014-03-13 16:20:23,0,0
2014-03-13 16:20:24,0,0
2014-03-13 16:20:25,0,0
2014-03-13 16:20:26,0,0
2014-03-13 16:20:27,0,0
2014-03-13 16:20:28,0,0
2014-03-13 16:20:29,0,0
2014-03-13 16:20:30,0,0
2014-03-13 16:20:31,0,0
2014-03-13 16:20:32,0,0
2014-03-13 16:20:33,0,0
2014-03-13 16:20:34,0,0
2014-03-13 16:20:35,0,0
2014-03-13 16:20:36,0,0
2014-03-13 16:20:37,0,0
2014-03-13 16:20:38,0,0
2014-03-13 16:20:39,0,0
2014-03-13 16:20:40,0,0
2014-03-13 16:20:41,0,0
2014-03-13 16:20:42,0,0
2014-03-13 16:20:43,0,0
2014-03-13 16:20:44,0,0
2014-03-13 16:20:45,0,0
2014-03-13 16:20:46,0,0
