time,charles_ipadair,jonathan_iPad2,yvonne,jonathan,christina,iPad2-64-white,charles
2014-03-17 18:20:15,7,4,7,7,4,4,7
2014-03-17 18:20:16,7,4,7,7,4,4,4
2014-03-17 18:20:17,7,4,7,7,4,4,8
2014-03-17 18:20:18,7,4,7,7,4,4,8
2014-03-17 18:20:19,7,4,7,7,4,4,7
2014-03-17 18:20:20,8,4,7,7,4,4,4
2014-03-17 18:20:21,7,4,7,4,4,4,7
2014-03-17 18:20:22,8,4,4,4,7,4,8
2014-03-17 18:20:23,4,4,7,4,6,7,8
2014-03-17 18:20:24,4,4,4,4,7,7,4
2014-03-17 18:20:25,4,4,8,4,7,7,4
2014-03-17 18:20:26,4,8,4,4,7,7,8
2014-03-17 18:20:27,4,8,7,7,7,4,4
2014-03-17 18:20:28,4,4,8,4,7,0,4
2014-03-17 18:20:29,4,8,8,7,7,0,8
2014-03-17 18:20:30,4,8,4,7,7,0,4
2014-03-17 18:20:31,4,7,7,7,7,0,8
2014-03-17 18:20:32,4,7,4,7,7,0,7
2014-03-17 18:20:33,4,7,7,7,7,0,8
2014-03-17 18:20:34,4,7,4,7,7,0,4
2014-03-17 18:20:35,4,7,7,7,7,0,4
2014-03-17 18:20:36,4,4,4,4,7,0,4
2014-03-17 18:20:37,4,7,7,7,7,0,4
2014-03-17 18:20:38,4,7,4,4,7,0,4
2014-03-17 18:20:39,4,4,7,7,7,4,4
2014-03-17 18:20:40,4,4,4,4,7,4,4
2014-03-17 18:20:41,4,7,7,7,7,4,4
2014-03-17 18:20:42,4,8,4,4,7,4,8
2014-03-17 18:20:43,4,7,7,7,7,4,4
2014-03-17 18:20:44,4,8,4,4,7,7,4
2014-03-17 18:20:45,4,7,4,7,4,7,4
2014-03-17 18:20:46,4,7,4,7,7,7,4
2014-03-17 18:20:47,4,8,7,7,7,7,4
2014-03-17 18:20:48,4,7,4,7,7,7,4
2014-03-17 18:20:49,4,7,7,7,7,7,4
2014-03-17 18:20:50,4,7,8,7,7,7,4
2014-03-17 18:20:51,4,8,7,7,7,7,7
2014-03-17 18:20:52,4,8,4,4,7,7,4
2014-03-17 18:20:53,4,7,7,7,7,7,4
2014-03-17 18:20:54,4,8,7,7,7,7,4
2014-03-17 18:20:55,4,8,4,4,7,7,4
2014-03-17 18:20:56,4,4,8,4,7,7,4
2014-03-17 18:20:57,4,7,4,4,4,7,8
2014-03-17 18:20:58,4,7,8,4,7,7,8
2014-03-17 18:20:59,4,7,4,8,4,7,8
2014-03-17 18:21:00,4,7,7,7,4,7,8
2014-03-17 18:21:01,4,7,4,8,7,7,7
2014-03-17 18:21:02,4,7,4,7,4,7,8
2014-03-17 18:21:03,4,7,4,8,4,7,4
2014-03-17 18:21:04,4,7,4,7,4,7,4
2014-03-17 18:21:05,4,7,4,4,4,7,4
2014-03-17 18:21:06,4,4,7,7,4,7,4
2014-03-17 18:21:07,4,7,4,7,4,4,4
2014-03-17 18:21:08,4,7,4,7,4,4,4
2014-03-17 18:21:09,4,7,4,4,4,4,4
2014-03-17 18:21:10,4,7,4,7,4,4,4
2014-03-17 18:21:11,4,7,4,7,4,4,4
2014-03-17 18:21:12,4,7,4,4,4,4,4
2014-03-17 18:21:13,4,7,4,7,4,4,4
2014-03-17 18:21:14,4,7,4,7,4,4,4
2014-03-17 18:21:15,4,7,4,7,4,4,4
2014-03-17 18:21:16,4,7,4,7,4,4,4
2014-03-17 18:21:17,4,8,4,7,4,4,4
2014-03-17 18:21:18,4,8,4,7,4,4,4
2014-03-17 18:21:19,4,8,4,7,4,4,4
2014-03-17 18:21:20,4,7,4,4,4,4,3
2014-03-17 18:21:21,7,7,4,7,4,4,4
2014-03-17 18:21:22,7,7,4,7,4,4,4
2014-03-17 18:21:23,4,7,4,4,4,4,4
2014-03-17 18:21:24,7,7,4,4,4,4,4
2014-03-17 18:21:25,7,7,4,7,4,4,4
2014-03-17 18:21:26,8,7,4,4,4,4,4
2014-03-17 18:21:27,7,7,4,4,4,4,4
2014-03-17 18:21:28,7,8,4,7,4,4,4
2014-03-17 18:21:29,8,8,4,4,4,4,4
2014-03-17 18:21:30,4,8,4,4,4,4,4
2014-03-17 18:21:31,7,8,8,7,4,4,4
2014-03-17 18:21:32,8,8,8,7,4,4,4
2014-03-17 18:21:33,4,8,4,8,4,4,4
2014-03-17 18:21:34,4,8,4,7,4,4,4
2014-03-17 18:21:35,7,8,4,7,0,4,4
2014-03-17 18:21:36,4,8,4,7,4,4,8
2014-03-17 18:21:37,4,8,4,8,4,4,4
2014-03-17 18:21:38,7,8,8,7,4,4,4
2014-03-17 18:21:39,4,8,8,8,4,4,4
2014-03-17 18:21:40,4,8,8,8,4,4,4
2014-03-17 18:21:41,4,7,8,7,4,4,4
2014-03-17 18:21:42,7,8,7,8,4,4,4
2014-03-17 18:21:43,4,8,4,8,4,4,4
2014-03-17 18:21:44,4,8,8,8,4,4,4
2014-03-17 18:21:45,4,8,4,8,4,4,4
2014-03-17 18:21:46,4,8,4,8,4,4,4
2014-03-17 18:21:47,4,8,8,8,4,4,4
2014-03-17 18:21:48,4,8,8,8,4,4,3
2014-03-17 18:21:49,4,8,8,8,4,4,4
2014-03-17 18:21:50,4,8,4,8,4,4,4
2014-03-17 18:21:51,4,7,4,8,4,4,4
2014-03-17 18:21:52,4,7,4,8,4,4,4
2014-03-17 18:21:53,4,7,4,8,4,7,4
2014-03-17 18:21:54,7,7,7,7,4,7,7
2014-03-17 18:21:55,7,7,7,7,4,7,7
2014-03-17 18:21:56,7,8,7,8,6,8,7
2014-03-17 18:21:57,7,8,7,8,7,8,7
2014-03-17 18:21:58,7,8,7,7,7,8,7
2014-03-17 18:21:59,7,8,7,7,7,8,7
2014-03-17 18:22:00,7,8,7,7,7,8,7
2014-03-17 18:22:01,7,8,7,7,7,8,7
2014-03-17 18:22:02,7,8,7,7,7,8,7
2014-03-17 18:22:03,7,8,7,7,7,8,7
2014-03-17 18:22:04,7,8,7,7,7,8,7
2014-03-17 18:22:05,7,8,7,7,7,8,7
2014-03-17 18:22:06,7,8,7,7,7,8,7
2014-03-17 18:22:07,7,8,7,7,7,8,7
2014-03-17 18:22:08,7,8,7,7,7,8,7
2014-03-17 18:22:09,7,8,7,7,7,8,7
2014-03-17 18:22:10,7,8,7,7,7,8,7
2014-03-17 18:22:11,7,8,7,7,7,8,7
2014-03-17 18:22:12,7,8,7,7,7,8,7
2014-03-17 18:22:13,7,8,8,7,7,8,7
2014-03-17 18:22:14,8,8,8,8,8,8,7
2014-03-17 18:22:15,8,8,8,8,8,8,7
2014-03-17 18:22:16,7,8,7,7,7,8,4
2014-03-17 18:22:17,7,8,7,7,7,8,4
2014-03-17 18:22:18,7,7,7,7,7,8,7
2014-03-17 18:22:19,7,7,7,7,7,7,7
2014-03-17 18:22:20,7,7,7,7,7,7,7
2014-03-17 18:22:21,7,7,7,7,7,8,7
2014-03-17 18:22:22,7,8,7,7,7,8,7
2014-03-17 18:22:23,7,8,7,7,7,8,7
2014-03-17 18:22:24,7,8,7,7,7,8,7
2014-03-17 18:22:25,7,7,7,7,7,8,7
2014-03-17 18:22:26,7,8,7,7,6,8,7
2014-03-17 18:22:27,7,8,7,7,6,8,7
2014-03-17 18:22:28,7,8,7,7,7,8,7
2014-03-17 18:22:29,7,7,7,7,7,7,7
2014-03-17 18:22:30,7,8,7,7,7,8,8
2014-03-17 18:22:31,7,8,7,7,6,8,7
2014-03-17 18:22:32,7,8,7,7,6,8,7
2014-03-17 18:22:33,7,8,7,7,6,8,7
2014-03-17 18:22:34,7,8,7,7,6,8,7
2014-03-17 18:22:35,7,8,7,7,7,8,7
2014-03-17 18:22:36,7,7,7,7,7,6,7
2014-03-17 18:22:37,8,8,8,8,7,8,8
2014-03-17 18:22:38,7,8,7,8,7,7,7
2014-03-17 18:22:39,8,8,8,7,7,7,8
2014-03-17 18:22:40,8,8,8,7,7,7,8
2014-03-17 18:22:41,8,8,8,8,7,7,8
2014-03-17 18:22:42,6,8,7,3,7,8,7
2014-03-17 18:22:43,8,8,8,3,4,7,8
2014-03-17 18:22:44,8,8,8,1,4,7,8
2014-03-17 18:22:45,8,8,7,2,3,7,7
2014-03-17 18:22:46,8,8,7,2,3,4,7
2014-03-17 18:22:47,7,8,8,2,2,3,4
2014-03-17 18:22:48,8,8,8,2,2,3,8
2014-03-17 18:22:49,8,8,5,2,2,3,2
2014-03-17 18:22:50,7,8,2,2,2,1,2
