time,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,9A5116EA-2793-4C75-AC93-524C9EF550FD,2FA454D2-F35D-45D6-BE5D-D848B409B713,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-06-23 15:04:55,7,8,7,0,7
2015-06-23 15:04:56,7,0,4,2,7
2015-06-23 15:04:57,7,0,4,2,2
2015-06-23 15:04:58,7,6,6,2,2
2015-06-23 15:04:59,5,6,6,2,8
2015-06-23 15:05:00,5,6,2,2,8
2015-06-23 15:05:01,5,8,2,2,7
2015-06-23 15:05:02,5,8,2,2,7
2015-06-23 15:05:03,2,7,2,2,7
2015-06-23 15:05:04,6,7,2,2,7
2015-06-23 15:05:05,5,7,2,2,7
2015-06-23 15:05:06,5,7,2,2,8
2015-06-23 15:05:07,7,3,2,2,8
2015-06-23 15:05:08,7,3,2,2,8
2015-06-23 15:05:09,7,3,2,2,7
2015-06-23 15:05:10,7,3,2,3,7
2015-06-23 15:05:11,7,3,2,8,7
2015-06-23 15:05:12,7,3,2,7,7
2015-06-23 15:05:13,7,3,2,7,5
2015-06-23 15:05:14,7,3,2,7,5
2015-06-23 15:05:15,7,3,2,7,5
2015-06-23 15:05:16,5,7,2,7,5
2015-06-23 15:05:17,7,7,2,7,2
2015-06-23 15:05:18,4,7,2,7,2
2015-06-23 15:05:19,7,7,2,3,2
2015-06-23 15:05:20,4,7,2,2,4
2015-06-23 15:05:21,4,8,2,2,4
2015-06-23 15:05:22,4,8,2,2,7
2015-06-23 15:05:23,4,3,2,2,7
2015-06-23 15:05:24,4,3,2,2,3
2015-06-23 15:05:25,4,3,2,2,3
2015-06-23 15:05:26,4,3,2,2,1
2015-06-23 15:05:27,4,1,2,2,3
2015-06-23 15:05:28,4,1,2,2,3
2015-06-23 15:05:29,4,1,2,2,3
2015-06-23 15:05:30,4,1,2,2,6
2015-06-23 15:05:31,4,3,2,2,7
2015-06-23 15:05:32,4,3,2,1,7
2015-06-23 15:05:33,4,3,2,1,7
2015-06-23 15:05:34,4,3,2,2,7
2015-06-23 15:05:35,3,3,2,2,7
2015-06-23 15:05:36,3,3,2,2,7
2015-06-23 15:05:37,1,3,2,2,7
2015-06-23 15:05:38,1,3,2,2,4
2015-06-23 15:05:39,1,3,2,2,7
2015-06-23 15:05:40,1,8,2,2,7
2015-06-23 15:05:41,2,6,2,2,7
2015-06-23 15:05:42,2,6,2,2,7
2015-06-23 15:05:43,2,4,2,2,7
2015-06-23 15:05:44,1,7,2,2,6
2015-06-23 15:05:45,8,7,2,2,6
2015-06-23 15:05:46,4,7,2,2,6
2015-06-23 15:05:47,8,7,2,2,6
2015-06-23 15:05:48,7,7,2,2,3
2015-06-23 15:05:49,7,6,1,2,8
2015-06-23 15:05:50,7,7,1,1,8
2015-06-23 15:05:51,6,6,1,2,8
2015-06-23 15:05:52,6,7,3,2,8
2015-06-23 15:05:53,6,7,3,2,8
2015-06-23 15:05:54,7,7,3,6,1
2015-06-23 15:05:55,7,7,3,7,0
2015-06-23 15:05:56,8,7,3,7,0
2015-06-23 15:05:57,7,7,3,7,0
2015-06-23 15:05:58,7,7,2,2,2
2015-06-23 15:05:59,8,7,2,0,8
2015-06-23 15:06:00,7,7,2,0,8
2015-06-23 15:06:01,6,7,2,0,8
2015-06-23 15:06:02,6,7,2,2,8
2015-06-23 15:06:03,6,7,2,2,8
