time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-08 16:02:47,7,1,4,2
2015-05-08 16:02:48,7,1,4,2
2015-05-08 16:02:49,4,1,4,2
2015-05-08 16:02:50,4,1,4,2
2015-05-08 16:02:51,4,1,4,2
2015-05-08 16:02:52,4,1,4,2
2015-05-08 16:02:53,4,1,4,2
2015-05-08 16:02:54,7,1,3,2
2015-05-08 16:02:55,4,3,3,2
2015-05-08 16:02:56,4,2,3,2
2015-05-08 16:02:57,4,0,1,2
2015-05-08 16:02:58,4,0,1,2
2015-05-08 16:02:59,4,2,3,2
2015-05-08 16:03:00,4,2,1,2
2015-05-08 16:03:01,4,2,3,2
2015-05-08 16:03:02,4,2,3,2
2015-05-08 16:03:03,2,2,3,2
2015-05-08 16:03:04,0,2,3,2
2015-05-08 16:03:05,0,2,3,2
2015-05-08 16:03:06,0,2,3,2
2015-05-08 16:03:07,0,2,3,2
2015-05-08 16:03:08,0,2,3,2
2015-05-08 16:03:09,0,2,3,2
2015-05-08 16:03:10,0,2,3,2
2015-05-08 16:03:11,0,2,3,2
2015-05-08 16:03:12,0,2,3,2
2015-05-08 16:03:13,0,2,3,2
2015-05-08 16:03:14,0,2,3,2
2015-05-08 16:03:15,0,2,3,2
2015-05-08 16:03:16,0,2,3,2
2015-05-08 16:03:17,0,2,3,2
2015-05-08 16:03:18,0,2,3,2
2015-05-08 16:03:19,4,2,3,2
2015-05-08 16:03:20,4,2,4,2
2015-05-08 16:03:21,4,2,4,2
2015-05-08 16:03:22,4,2,3,2
2015-05-08 16:03:23,4,1,3,2
2015-05-08 16:03:24,0,1,3,2
2015-05-08 16:03:25,0,1,1,2
2015-05-08 16:03:26,0,1,1,2
2015-05-08 16:03:27,0,1,1,2
2015-05-08 16:03:28,0,1,1,2
2015-05-08 16:03:29,0,1,1,2
2015-05-08 16:03:30,0,1,1,2
2015-05-08 16:03:31,0,1,1,2
2015-05-08 16:03:32,0,1,3,1
2015-05-08 16:03:33,0,1,3,1
2015-05-08 16:03:34,0,1,1,1
2015-05-08 16:03:35,0,1,3,1
2015-05-08 16:03:36,0,1,3,1
2015-05-08 16:03:37,0,1,3,1
2015-05-08 16:03:38,0,1,3,1
2015-05-08 16:03:39,0,1,3,1
2015-05-08 16:03:40,2,1,1,1
2015-05-08 16:03:41,4,1,3,1
2015-05-08 16:03:42,4,1,3,1
2015-05-08 16:03:43,4,1,3,1
2015-05-08 16:03:44,4,1,3,1
2015-05-08 16:03:45,4,1,3,2
2015-05-08 16:03:46,4,1,4,2
2015-05-08 16:03:47,3,1,4,2
2015-05-08 16:03:48,2,1,3,2
2015-05-08 16:03:49,2,1,3,2
2015-05-08 16:03:50,2,1,3,2
2015-05-08 16:03:51,2,1,3,2
2015-05-08 16:03:52,2,1,3,2
2015-05-08 16:03:53,2,1,3,2
2015-05-08 16:03:54,2,1,3,2
2015-05-08 16:03:55,2,1,3,2
2015-05-08 16:03:56,2,1,3,2
2015-05-08 16:03:57,2,1,3,2
2015-05-08 16:03:58,2,1,3,2
2015-05-08 16:03:59,2,1,3,2
2015-05-08 16:04:00,2,1,3,2
2015-05-08 16:04:01,2,1,3,2
2015-05-08 16:04:02,2,1,3,2
2015-05-08 16:04:03,2,1,3,2
2015-05-08 16:04:04,2,1,3,2
2015-05-08 16:04:05,2,1,3,2
2015-05-08 16:04:06,2,1,3,2
2015-05-08 16:04:07,2,1,3,2
2015-05-08 16:04:08,2,1,3,2
2015-05-08 16:04:09,2,1,3,2
2015-05-08 16:04:10,0,1,3,2
2015-05-08 16:04:11,2,1,3,2
2015-05-08 16:04:12,2,1,3,2
2015-05-08 16:04:13,2,1,3,2
2015-05-08 16:04:14,2,1,3,2
2015-05-08 16:04:15,2,1,3,2
2015-05-08 16:04:16,0,1,3,2
2015-05-08 16:04:17,0,1,3,2
2015-05-08 16:04:18,0,1,3,2
2015-05-08 16:04:19,2,1,3,2
2015-05-08 16:04:20,2,1,3,2
2015-05-08 16:04:21,2,1,3,2
2015-05-08 16:04:22,2,3,1,2
2015-05-08 16:04:23,2,3,8,2
2015-05-08 16:04:24,0,3,8,2
2015-05-08 16:04:25,0,3,8,2
2015-05-08 16:04:26,0,3,8,2
2015-05-08 16:04:27,2,3,3,2
2015-05-08 16:04:28,2,3,3,2
2015-05-08 16:04:29,2,3,3,2
2015-05-08 16:04:30,2,3,3,2
2015-05-08 16:04:31,2,3,8,2
2015-05-08 16:04:32,6,4,3,2
2015-05-08 16:04:33,6,4,4,2
2015-05-08 16:04:34,6,8,4,2
2015-05-08 16:04:35,6,7,4,2
