time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-04-29 18:02:49,3,2,2,2
2015-04-29 18:02:50,3,2,2,2
2015-04-29 18:02:51,3,4,2,2
2015-04-29 18:02:52,3,4,2,2
2015-04-29 18:02:53,3,4,2,2
2015-04-29 18:02:54,3,4,2,2
2015-04-29 18:02:55,3,4,2,3
2015-04-29 18:02:56,3,2,2,4
2015-04-29 18:02:57,3,2,2,7
2015-04-29 18:02:58,3,2,2,7
2015-04-29 18:02:59,3,2,2,7
2015-04-29 18:03:00,3,2,2,7
2015-04-29 18:03:01,3,2,2,4
2015-04-29 18:03:02,8,2,2,4
2015-04-29 18:03:03,8,2,0,4
2015-04-29 18:03:04,8,2,0,4
2015-04-29 18:03:05,8,2,0,4
2015-04-29 18:03:06,4,4,0,4
2015-04-29 18:03:07,4,4,0,7
2015-04-29 18:03:08,4,4,0,7
2015-04-29 18:03:09,4,4,0,7
2015-04-29 18:03:10,4,4,0,7
2015-04-29 18:03:11,4,2,0,4
2015-04-29 18:03:12,4,2,0,4
2015-04-29 18:03:13,4,2,0,4
2015-04-29 18:03:14,4,2,0,4
2015-04-29 18:03:15,4,2,0,7
2015-04-29 18:03:16,4,2,0,7
2015-04-29 18:03:17,4,2,0,7
2015-04-29 18:03:18,4,2,0,4
2015-04-29 18:03:19,4,4,0,4
2015-04-29 18:03:20,4,4,0,4
2015-04-29 18:03:21,4,4,0,0
2015-04-29 18:03:22,4,4,0,0
2015-04-29 18:03:23,4,4,0,0
2015-04-29 18:03:24,4,2,0,0
2015-04-29 18:03:25,4,2,0,0
2015-04-29 18:03:26,4,2,0,0
2015-04-29 18:03:27,7,2,0,6
2015-04-29 18:03:28,7,2,0,2
2015-04-29 18:03:29,7,2,0,2
2015-04-29 18:03:30,7,3,0,2
2015-04-29 18:03:31,7,3,0,2
2015-04-29 18:03:32,7,2,0,8
2015-04-29 18:03:33,7,2,0,4
2015-04-29 18:03:34,7,2,0,8
2015-04-29 18:03:35,7,2,0,4
2015-04-29 18:03:36,7,4,0,4
2015-04-29 18:03:37,7,4,7,6
2015-04-29 18:03:38,4,3,7,4
2015-04-29 18:03:39,2,4,8,4
2015-04-29 18:03:40,4,4,7,4
2015-04-29 18:03:41,4,4,8,4
2015-04-29 18:03:42,4,3,8,4
2015-04-29 18:03:43,4,3,8,7
2015-04-29 18:03:44,4,3,8,7
2015-04-29 18:03:45,4,3,8,4
2015-04-29 18:03:46,4,3,8,4
2015-04-29 18:03:47,4,3,8,4
2015-04-29 18:03:48,4,3,3,4
2015-04-29 18:03:49,4,3,3,4
2015-04-29 18:03:50,4,3,3,4
2015-04-29 18:03:51,4,3,3,8
2015-04-29 18:03:52,4,4,3,8
2015-04-29 18:03:53,4,4,3,8
2015-04-29 18:03:54,4,6,3,4
2015-04-29 18:03:55,4,8,3,4
2015-04-29 18:03:56,4,4,1,4
2015-04-29 18:03:57,7,3,1,7
2015-04-29 18:03:58,4,3,1,7
2015-04-29 18:03:59,4,3,8,7
2015-04-29 18:04:00,4,3,8,6
