time,charles,yvonne,jonathan,christina
2014-04-29 16:01:14,0,0,0,0
2014-04-29 16:01:15,0,0,0,0
2014-04-29 16:01:16,0,0,0,0
2014-04-29 16:01:17,0,0,0,0
2014-04-29 16:01:18,0,0,0,0
2014-04-29 16:01:19,0,0,0,0
2014-04-29 16:01:20,0,0,0,0
2014-04-29 16:01:21,0,0,0,0
2014-04-29 16:01:22,0,0,0,0
2014-04-29 16:01:23,0,0,0,0
2014-04-29 16:01:24,0,0,0,0
2014-04-29 16:01:25,0,0,0,0
2014-04-29 16:01:26,0,0,0,0
2014-04-29 16:01:27,0,0,0,0
2014-04-29 16:01:28,0,0,0,0
2014-04-29 16:01:29,0,0,0,0
2014-04-29 16:01:30,0,0,0,0
2014-04-29 16:01:31,0,0,0,0
2014-04-29 16:01:32,0,0,0,0
2014-04-29 16:01:33,0,0,0,0
2014-04-29 16:01:34,0,0,0,0
2014-04-29 16:01:35,0,0,0,0
2014-04-29 16:01:36,0,0,0,0
2014-04-29 16:01:37,0,0,0,0
2014-04-29 16:01:38,0,0,0,0
2014-04-29 16:01:39,0,0,0,0
2014-04-29 16:01:40,0,0,0,0
2014-04-29 16:01:41,0,0,0,0
2014-04-29 16:01:42,0,0,0,0
2014-04-29 16:01:43,0,0,0,0
2014-04-29 16:01:44,0,0,0,0
2014-04-29 16:01:45,0,0,0,0
2014-04-29 16:01:46,0,0,0,0
2014-04-29 16:01:47,0,0,0,0
2014-04-29 16:01:48,0,0,0,0
2014-04-29 16:01:49,0,0,0,0
2014-04-29 16:01:50,0,0,0,0
2014-04-29 16:01:51,0,0,0,0
2014-04-29 16:01:52,0,0,0,0
2014-04-29 16:01:53,0,0,0,0
2014-04-29 16:01:54,0,0,0,0
2014-04-29 16:01:55,0,0,0,0
2014-04-29 16:01:56,0,0,0,0
2014-04-29 16:01:57,0,0,0,0
2014-04-29 16:01:58,0,0,0,0
2014-04-29 16:01:59,0,0,0,0
2014-04-29 16:02:00,0,0,0,0
2014-04-29 16:02:01,0,0,0,0
2014-04-29 16:02:02,0,0,0,0
2014-04-29 16:02:03,0,0,0,0
2014-04-29 16:02:04,0,0,0,0
2014-04-29 16:02:05,0,0,0,0
2014-04-29 16:02:06,2,0,0,0
2014-04-29 16:02:07,2,0,0,0
2014-04-29 16:02:08,2,0,0,0
2014-04-29 16:02:09,2,0,0,0
2014-04-29 16:02:10,2,0,0,0
2014-04-29 16:02:11,2,0,0,0
