time,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-07 18:34:00,2,2,2,0
2015-05-07 18:34:01,2,2,2,0
2015-05-07 18:34:02,2,2,2,0
2015-05-07 18:34:03,2,2,2,0
2015-05-07 18:34:04,2,2,2,0
2015-05-07 18:34:05,2,2,2,0
2015-05-07 18:34:06,2,2,2,0
2015-05-07 18:34:07,2,2,2,0
2015-05-07 18:34:08,2,2,2,0
2015-05-07 18:34:09,2,2,2,0
2015-05-07 18:34:10,2,2,2,0
2015-05-07 18:34:11,0,0,0,0
2015-05-07 18:34:12,0,0,0,0
