time,charles,jonathan,yvonne,christina
2013-08-03 17:17:52,2,2,3,2
2013-08-03 17:17:53,2,2,3,2
2013-08-03 17:17:54,2,2,3,2
2013-08-03 17:17:55,2,2,1,2
2013-08-03 17:17:56,2,2,1,2
2013-08-03 17:17:57,2,2,2,2
2013-08-03 17:17:58,2,2,2,2
2013-08-03 17:17:59,2,2,1,2
2013-08-03 17:18:00,2,2,1,2
2013-08-03 17:18:01,0,2,1,2
2013-08-03 17:18:02,0,2,1,2
2013-08-03 17:18:03,0,2,1,2
2013-08-03 17:18:04,0,1,2,2
2013-08-03 17:18:05,0,1,2,2
2013-08-03 17:18:06,0,1,2,2
2013-08-03 17:18:07,0,1,2,2
2013-08-03 17:18:08,0,1,2,2
2013-08-03 17:18:09,0,2,2,2
2013-08-03 17:18:10,0,2,2,2
2013-08-03 17:18:11,0,2,2,2
2013-08-03 17:18:12,0,2,2,2
2013-08-03 17:18:13,0,2,2,2
2013-08-03 17:18:14,0,2,2,2
2013-08-03 17:18:15,7,2,2,2
2013-08-03 17:18:16,7,2,2,2
2013-08-03 17:18:17,7,2,2,2
2013-08-03 17:18:18,7,2,2,2
2013-08-03 17:18:19,7,2,2,2
2013-08-03 17:18:20,6,2,2,2
2013-08-03 17:18:21,7,2,0,2
2013-08-03 17:18:22,7,2,0,2
2013-08-03 17:18:23,7,2,0,2
2013-08-03 17:18:24,7,2,0,2
2013-08-03 17:18:25,7,3,0,2
2013-08-03 17:18:26,7,2,0,2
2013-08-03 17:18:27,7,2,0,2
2013-08-03 17:18:28,8,2,0,2
2013-08-03 17:18:29,8,2,0,2
2013-08-03 17:18:30,4,2,0,2
2013-08-03 17:18:31,3,2,0,2
2013-08-03 17:18:32,3,2,0,2
2013-08-03 17:18:33,3,2,0,2
2013-08-03 17:18:34,3,2,0,2
2013-08-03 17:18:35,3,3,6,7
2013-08-03 17:18:36,3,3,6,7
2013-08-03 17:18:37,3,3,6,7
2013-08-03 17:18:38,3,3,2,7
2013-08-03 17:18:39,3,8,2,7
2013-08-03 17:18:40,4,2,6,7
2013-08-03 17:18:41,4,2,6,7
2013-08-03 17:18:42,3,2,6,7
2013-08-03 17:18:43,4,2,0,4
2013-08-03 17:18:44,3,2,2,4
2013-08-03 17:18:45,3,2,2,4
2013-08-03 17:18:46,3,2,2,2
2013-08-03 17:18:47,3,2,2,2
2013-08-03 17:18:48,3,2,2,2
2013-08-03 17:18:49,3,2,2,2
2013-08-03 17:18:50,3,2,2,2
2013-08-03 17:18:51,3,2,0,2
2013-08-03 17:18:52,3,2,0,2
2013-08-03 17:18:53,3,2,0,2
2013-08-03 17:18:54,3,2,0,2
2013-08-03 17:18:55,3,2,0,3
2013-08-03 17:18:56,3,1,0,3
2013-08-03 17:18:57,3,2,0,3
2013-08-03 17:18:58,3,4,0,3
2013-08-03 17:18:59,3,4,0,3
2013-08-03 17:19:00,3,4,0,3
2013-08-03 17:19:01,3,4,0,3
2013-08-03 17:19:02,3,4,0,3
2013-08-03 17:19:03,3,3,0,3
2013-08-03 17:19:04,4,3,0,3
2013-08-03 17:19:05,4,8,0,3
2013-08-03 17:19:06,4,8,0,3
2013-08-03 17:19:07,4,8,0,3
2013-08-03 17:19:08,4,8,0,1
2013-08-03 17:19:09,4,8,2,1
2013-08-03 17:19:10,3,3,2,1
2013-08-03 17:19:11,3,8,2,1
2013-08-03 17:19:12,1,8,2,1
2013-08-03 17:19:13,1,8,2,1
2013-08-03 17:19:14,1,3,2,1
2013-08-03 17:19:15,2,8,2,1
2013-08-03 17:19:16,2,3,2,1
2013-08-03 17:19:17,2,3,4,1
2013-08-03 17:19:18,2,3,3,1
2013-08-03 17:19:19,2,3,3,1
2013-08-03 17:19:20,2,3,4,1
2013-08-03 17:19:21,2,3,8,1
2013-08-03 17:19:22,2,3,2,3
2013-08-03 17:19:23,2,1,1,3
2013-08-03 17:19:24,2,3,8,3
2013-08-03 17:19:25,2,3,8,8
2013-08-03 17:19:26,2,3,1,2
2013-08-03 17:19:27,2,3,1,0
2013-08-03 17:19:28,2,1,2,0
2013-08-03 17:19:29,2,1,2,0
2013-08-03 17:19:30,2,1,2,4
2013-08-03 17:19:31,2,1,2,7
2013-08-03 17:19:32,2,1,2,7
2013-08-03 17:19:33,2,1,2,7
2013-08-03 17:19:34,2,1,2,6
2013-08-03 17:19:35,2,1,2,7
2013-08-03 17:19:36,2,1,2,7
2013-08-03 17:19:37,2,1,2,7
2013-08-03 17:19:38,2,1,3,7
2013-08-03 17:19:39,2,1,3,7
2013-08-03 17:19:40,2,1,3,7
2013-08-03 17:19:41,2,1,3,7
2013-08-03 17:19:42,2,1,3,7
2013-08-03 17:19:43,2,1,2,2
2013-08-03 17:19:44,2,1,1,2
2013-08-03 17:19:45,2,1,1,2
2013-08-03 17:19:46,2,1,3,2
2013-08-03 17:19:47,2,1,3,2
2013-08-03 17:19:48,2,1,3,2
2013-08-03 17:19:49,2,1,2,6
2013-08-03 17:19:50,2,1,2,0
2013-08-03 17:19:51,2,1,1,0
2013-08-03 17:19:52,2,1,1,0
2013-08-03 17:19:53,2,1,1,0
2013-08-03 17:19:54,2,1,2,0
2013-08-03 17:19:55,2,1,2,0
2013-08-03 17:19:56,2,1,2,0
2013-08-03 17:19:57,2,1,2,0
2013-08-03 17:19:58,2,1,0,0
2013-08-03 17:19:59,2,1,0,0
2013-08-03 17:20:00,2,1,0,0
2013-08-03 17:20:01,2,1,0,0
2013-08-03 17:20:02,2,1,0,0
2013-08-03 17:20:03,4,1,0,0
2013-08-03 17:20:04,4,1,0,0
2013-08-03 17:20:05,4,3,0,0
