time,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-01 18:26:15,2,6,2,2
2015-05-01 18:26:16,2,6,2,7
2015-05-01 18:26:17,2,6,2,8
2015-05-01 18:26:18,2,6,2,4
2015-05-01 18:26:19,2,6,2,3
2015-05-01 18:26:20,3,4,2,3
2015-05-01 18:26:21,3,4,2,3
2015-05-01 18:26:22,3,6,2,3
2015-05-01 18:26:23,3,4,2,3
2015-05-01 18:26:24,3,4,3,3
2015-05-01 18:26:25,3,6,3,8
2015-05-01 18:26:26,3,4,8,8
2015-05-01 18:26:27,7,4,8,8
2015-05-01 18:26:28,8,6,8,8
2015-05-01 18:26:29,8,6,8,8
2015-05-01 18:26:30,8,4,8,8
2015-05-01 18:26:31,8,4,8,8
2015-05-01 18:26:32,8,6,8,8
2015-05-01 18:26:33,4,6,8,8
2015-05-01 18:26:34,4,4,8,8
2015-05-01 18:26:35,6,6,7,8
2015-05-01 18:26:36,6,4,5,8
2015-05-01 18:26:37,6,4,7,8
2015-05-01 18:26:38,6,4,7,6
2015-05-01 18:26:39,6,7,7,8
2015-05-01 18:26:40,8,4,7,8
2015-05-01 18:26:41,8,4,7,8
2015-05-01 18:26:42,8,7,7,8
2015-05-01 18:26:43,8,4,7,8
2015-05-01 18:26:44,8,4,7,8
2015-05-01 18:26:45,8,6,7,8
2015-05-01 18:26:46,8,4,7,8
2015-05-01 18:26:47,7,4,7,7
2015-05-01 18:26:48,7,4,7,7
2015-05-01 18:26:49,7,4,7,7
2015-05-01 18:26:50,3,4,7,4
2015-05-01 18:26:51,3,4,7,4
2015-05-01 18:26:52,3,4,7,4
2015-05-01 18:26:53,3,4,7,4
2015-05-01 18:26:54,1,4,4,4
2015-05-01 18:26:55,8,2,3,4
2015-05-01 18:26:56,8,2,3,4
2015-05-01 18:26:57,8,2,3,4
2015-05-01 18:26:58,8,2,1,2
2015-05-01 18:26:59,1,2,1,2
2015-05-01 18:27:00,1,2,1,2
2015-05-01 18:27:01,1,2,1,2
2015-05-01 18:27:02,1,2,3,2
2015-05-01 18:27:03,3,2,3,2
2015-05-01 18:27:04,1,2,1,2
2015-05-01 18:27:05,1,2,1,2
2015-05-01 18:27:06,1,2,1,2
2015-05-01 18:27:07,1,2,3,2
2015-05-01 18:27:08,8,2,2,2
2015-05-01 18:27:09,8,2,2,2
2015-05-01 18:27:10,8,2,2,2
2015-05-01 18:27:11,8,2,3,1
2015-05-01 18:27:12,8,2,3,1
2015-05-01 18:27:13,8,2,3,1
2015-05-01 18:27:14,3,2,3,1
2015-05-01 18:27:15,4,2,8,1
2015-05-01 18:27:16,4,2,7,1
2015-05-01 18:27:17,4,2,7,3
2015-05-01 18:27:18,4,2,7,1
2015-05-01 18:27:19,4,2,7,3
2015-05-01 18:27:20,4,2,7,3
2015-05-01 18:27:21,4,2,7,3
2015-05-01 18:27:22,4,2,7,8
2015-05-01 18:27:23,4,2,7,7
2015-05-01 18:27:24,4,2,7,8
2015-05-01 18:27:25,4,2,7,8
2015-05-01 18:27:26,4,2,7,8
2015-05-01 18:27:27,4,2,7,7
2015-05-01 18:27:28,4,2,8,8
2015-05-01 18:27:29,3,3,8,8
2015-05-01 18:27:30,3,3,8,8
2015-05-01 18:27:31,3,4,8,8
2015-05-01 18:27:32,3,4,8,8
2015-05-01 18:27:33,3,7,8,8
2015-05-01 18:27:34,3,7,7,8
2015-05-01 18:27:35,3,4,7,8
2015-05-01 18:27:36,3,4,6,8
2015-05-01 18:27:37,3,4,4,8
2015-05-01 18:27:38,3,4,7,8
