time,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-05-07 19:00:26,1,2,2,2
2015-05-07 19:00:27,1,2,2,1
2015-05-07 19:00:28,1,2,2,1
2015-05-07 19:00:29,1,2,2,1
2015-05-07 19:00:30,1,2,2,1
2015-05-07 19:00:31,1,2,2,1
2015-05-07 19:00:32,1,2,2,1
2015-05-07 19:00:33,1,2,2,1
2015-05-07 19:00:34,1,2,2,1
2015-05-07 19:00:35,1,2,2,1
2015-05-07 19:00:36,1,2,2,1
2015-05-07 19:00:37,1,2,2,3
2015-05-07 19:00:38,3,2,2,1
2015-05-07 19:00:39,1,2,2,1
2015-05-07 19:00:40,1,2,2,1
2015-05-07 19:00:41,1,2,2,1
2015-05-07 19:00:42,1,2,2,1
2015-05-07 19:00:43,1,2,2,1
2015-05-07 19:00:44,1,2,2,1
2015-05-07 19:00:45,1,2,2,2
2015-05-07 19:00:46,0,2,0,2
2015-05-07 19:00:47,0,2,0,2
2015-05-07 19:00:48,0,2,0,2
2015-05-07 19:00:49,0,2,0,2
2015-05-07 19:00:50,0,2,0,2
2015-05-07 19:00:51,0,0,0,2
2015-05-07 19:00:52,0,0,0,2
2015-05-07 19:00:53,0,0,0,2
2015-05-07 19:00:54,0,0,0,2
2015-05-07 19:00:55,0,0,0,2
2015-05-07 19:00:56,0,0,0,2
2015-05-07 19:00:57,0,0,0,2
2015-05-07 19:00:58,0,0,0,2
2015-05-07 19:00:59,0,0,0,2
2015-05-07 19:01:00,0,0,0,2
2015-05-07 19:01:01,0,0,0,0
