time,charles,christina,jonathan,yvonne
2013-05-04 14:34:24,4,2,0,0
2013-05-04 14:34:25,3,2,0,0
2013-05-04 14:34:26,3,2,0,0
2013-05-04 14:34:27,3,2,0,0
2013-05-04 14:34:28,3,4,0,0
2013-05-04 14:34:29,3,4,0,0
2013-05-04 14:34:30,3,4,0,0
2013-05-04 14:34:31,3,4,0,0
2013-05-04 14:34:32,3,4,0,0
2013-05-04 14:34:33,3,4,0,0
2013-05-04 14:34:34,3,4,0,2
2013-05-04 14:34:35,3,4,0,2
2013-05-04 14:34:36,3,4,0,2
2013-05-04 14:34:37,3,4,0,2
2013-05-04 14:34:38,4,4,0,2
2013-05-04 14:34:39,2,4,0,2
2013-05-04 14:34:40,2,4,0,2
2013-05-04 14:34:41,2,4,0,2
2013-05-04 14:34:42,2,4,0,2
2013-05-04 14:34:43,2,4,0,2
2013-05-04 14:34:44,0,4,0,2
2013-05-04 14:34:45,0,4,0,2
2013-05-04 14:34:46,0,4,0,2
2013-05-04 14:34:47,0,4,0,2
2013-05-04 14:34:48,0,4,0,2
2013-05-04 14:34:49,0,4,0,2
2013-05-04 14:34:50,0,4,0,2
2013-05-04 14:34:51,0,4,0,2
2013-05-04 14:34:52,0,4,0,2
2013-05-04 14:34:53,0,4,0,2
2013-05-04 14:34:54,2,4,0,2
2013-05-04 14:34:55,2,4,0,2
2013-05-04 14:34:56,2,4,0,2
2013-05-04 14:34:57,2,4,0,2
2013-05-04 14:34:58,2,4,0,2
2013-05-04 14:34:59,2,4,0,2
2013-05-04 14:35:00,2,4,0,2
2013-05-04 14:35:01,2,4,0,2
2013-05-04 14:35:02,0,4,0,2
2013-05-04 14:35:03,0,4,0,2
2013-05-04 14:35:04,0,4,0,2
2013-05-04 14:35:05,0,4,0,2
2013-05-04 14:35:06,0,4,0,2
2013-05-04 14:35:07,0,2,0,2
2013-05-04 14:35:08,0,2,0,2
2013-05-04 14:35:09,0,0,0,2
2013-05-04 14:35:10,0,0,0,2
2013-05-04 14:35:11,0,0,0,2
2013-05-04 14:35:12,0,0,0,2
2013-05-04 14:35:13,0,0,0,2
2013-05-04 14:35:14,0,0,0,2
2013-05-04 14:35:15,0,0,0,2
2013-05-04 14:35:16,0,0,0,2
2013-05-04 14:35:17,0,0,0,2
2013-05-04 14:35:18,0,0,0,2
2013-05-04 14:35:19,0,0,0,2
2013-05-04 14:35:20,0,0,0,2
2013-05-04 14:35:21,0,0,0,2
