time,jonathan,charles,yvonne,christina
2014-04-28 16:16:48,0,3,0,3
2014-04-28 16:16:49,0,4,0,3
2014-04-28 16:16:50,0,0,0,3
2014-04-28 16:16:51,0,0,3,3
2014-04-28 16:16:52,0,0,3,0
2014-04-28 16:16:53,0,0,3,0
2014-04-28 16:16:54,0,0,3,0
2014-04-28 16:16:55,0,0,3,0
2014-04-28 16:16:56,0,0,3,0
2014-04-28 16:16:57,0,0,3,0
2014-04-28 16:16:58,0,0,3,0
2014-04-28 16:16:59,0,0,3,0
2014-04-28 16:17:00,0,0,0,0
2014-04-28 16:17:01,2,0,0,0
2014-04-28 16:17:02,2,0,2,0
2014-04-28 16:17:03,3,0,3,0
2014-04-28 16:17:04,3,3,3,0
2014-04-28 16:17:05,3,3,3,0
2014-04-28 16:17:06,3,3,0,0
2014-04-28 16:17:07,3,3,0,0
2014-04-28 16:17:08,3,3,0,0
2014-04-28 16:17:09,3,3,0,0
2014-04-28 16:17:10,3,3,0,0
2014-04-28 16:17:11,3,4,0,0
2014-04-28 16:17:12,3,4,0,0
2014-04-28 16:17:13,3,4,0,0
2014-04-28 16:17:14,1,4,0,0
2014-04-28 16:17:15,2,2,0,0
2014-04-28 16:17:16,2,0,0,0
2014-04-28 16:17:17,0,2,0,0
2014-04-28 16:17:18,0,3,0,0
2014-04-28 16:17:19,0,3,0,0
2014-04-28 16:17:20,0,3,0,0
2014-04-28 16:17:21,0,3,0,0
2014-04-28 16:17:22,0,3,0,0
2014-04-28 16:17:23,0,0,0,0
2014-04-28 16:17:24,0,0,0,0
2014-04-28 16:17:25,0,0,0,0
2014-04-28 16:17:26,0,2,0,0
2014-04-28 16:17:27,0,3,0,0
2014-04-28 16:17:28,0,3,0,0
2014-04-28 16:17:29,0,3,0,0
2014-04-28 16:17:30,0,1,0,0
2014-04-28 16:17:31,0,1,0,0
2014-04-28 16:17:32,0,3,0,0
2014-04-28 16:17:33,0,3,0,0
2014-04-28 16:17:34,0,3,0,0
2014-04-28 16:17:35,0,3,0,0
2014-04-28 16:17:36,0,3,0,0
2014-04-28 16:17:37,0,4,0,0
2014-04-28 16:17:38,0,3,0,0
2014-04-28 16:17:39,0,3,0,0
2014-04-28 16:17:40,0,2,0,0
2014-04-28 16:17:41,0,0,0,0
2014-04-28 16:17:42,0,0,0,0
2014-04-28 16:17:43,0,0,0,0
2014-04-28 16:17:44,0,4,0,0
2014-04-28 16:17:45,0,4,0,2
2014-04-28 16:17:46,0,4,0,4
2014-04-28 16:17:47,0,4,0,4
2014-04-28 16:17:48,0,4,0,4
2014-04-28 16:17:49,0,3,0,4
2014-04-28 16:17:50,0,0,0,4
2014-04-28 16:17:51,0,0,0,0
2014-04-28 16:17:52,0,0,0,2
2014-04-28 16:17:53,0,0,0,3
2014-04-28 16:17:54,0,0,0,3
2014-04-28 16:17:55,0,0,0,1
2014-04-28 16:17:56,0,0,0,1
2014-04-28 16:17:57,0,0,0,1
2014-04-28 16:17:58,0,0,0,1
2014-04-28 16:17:59,0,0,0,1
2014-04-28 16:18:00,0,0,0,1
2014-04-28 16:18:01,0,0,0,1
2014-04-28 16:18:02,0,0,0,1
2014-04-28 16:18:03,0,0,0,1
2014-04-28 16:18:04,0,0,0,1
2014-04-28 16:18:05,0,0,0,1
2014-04-28 16:18:06,0,0,0,1
2014-04-28 16:18:07,0,0,0,1
2014-04-28 16:18:08,0,0,0,1
2014-04-28 16:18:09,0,0,0,1
2014-04-28 16:18:10,0,0,0,1
2014-04-28 16:18:11,0,0,0,3
2014-04-28 16:18:12,0,0,0,3
2014-04-28 16:18:13,0,0,0,3
2014-04-28 16:18:14,0,0,0,3
2014-04-28 16:18:15,0,0,0,1
2014-04-28 16:18:16,0,3,0,1
2014-04-28 16:18:17,0,3,0,1
2014-04-28 16:18:18,0,1,0,1
2014-04-28 16:18:19,0,1,0,3
2014-04-28 16:18:20,0,1,0,3
2014-04-28 16:18:21,0,3,0,3
2014-04-28 16:18:22,0,2,0,3
2014-04-28 16:18:23,0,0,0,3
2014-04-28 16:18:24,0,0,0,3
2014-04-28 16:18:25,0,0,0,3
2014-04-28 16:18:26,0,0,0,3
2014-04-28 16:18:27,0,0,0,3
2014-04-28 16:18:28,0,0,0,3
2014-04-28 16:18:29,2,0,0,3
2014-04-28 16:18:30,2,2,0,4
2014-04-28 16:18:31,1,2,0,4
2014-04-28 16:18:32,1,2,0,0
2014-04-28 16:18:33,1,3,0,0
2014-04-28 16:18:34,1,3,0,0
2014-04-28 16:18:35,1,3,0,0
2014-04-28 16:18:36,1,4,0,0
2014-04-28 16:18:37,1,4,0,0
2014-04-28 16:18:38,1,4,0,0
2014-04-28 16:18:39,2,4,0,0
2014-04-28 16:18:40,0,4,0,3
2014-04-28 16:18:41,0,4,0,0
2014-04-28 16:18:42,0,4,0,0
2014-04-28 16:18:43,0,4,0,0
2014-04-28 16:18:44,0,4,0,0
2014-04-28 16:18:45,0,4,0,0
2014-04-28 16:18:46,0,0,0,0
2014-04-28 16:18:47,0,0,0,0
2014-04-28 16:18:48,0,0,0,0
2014-04-28 16:18:49,0,0,0,0
2014-04-28 16:18:50,0,0,0,0
2014-04-28 16:18:51,0,0,0,0
2014-04-28 16:18:52,0,0,0,0
2014-04-28 16:18:53,0,0,0,0
2014-04-28 16:18:54,0,0,0,0
2014-04-28 16:18:55,0,0,0,0
2014-04-28 16:18:56,0,0,0,0
2014-04-28 16:18:57,0,0,0,0
2014-04-28 16:18:58,0,0,0,0
2014-04-28 16:18:59,0,0,0,0
2014-04-28 16:19:00,0,0,0,0
2014-04-28 16:19:01,0,0,0,0
2014-04-28 16:19:02,0,0,0,0
2014-04-28 16:19:03,0,0,0,0
2014-04-28 16:19:04,0,0,0,0
