time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B,9A5116EA-2793-4C75-AC93-524C9EF550FD,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-01 18:54:36,3,4,1,4
2015-05-01 18:54:37,3,2,3,4
2015-05-01 18:54:38,3,2,1,7
2015-05-01 18:54:39,8,2,2,7
2015-05-01 18:54:40,3,2,2,6
2015-05-01 18:54:41,2,2,3,7
2015-05-01 18:54:42,1,2,3,7
2015-05-01 18:54:43,3,2,3,7
2015-05-01 18:54:44,3,2,3,7
2015-05-01 18:54:45,3,2,3,7
2015-05-01 18:54:46,3,2,3,4
2015-05-01 18:54:47,3,2,3,4
2015-05-01 18:54:48,3,2,3,2
2015-05-01 18:54:49,3,2,1,2
2015-05-01 18:54:50,3,4,1,2
2015-05-01 18:54:51,3,4,1,2
2015-05-01 18:54:52,3,4,1,2
2015-05-01 18:54:53,3,4,1,2
2015-05-01 18:54:54,3,4,1,2
2015-05-01 18:54:55,3,4,8,2
2015-05-01 18:54:56,3,4,8,2
2015-05-01 18:54:57,2,4,8,6
2015-05-01 18:54:58,3,4,8,6
2015-05-01 18:54:59,1,4,8,6
2015-05-01 18:55:00,3,4,8,5
2015-05-01 18:55:01,3,4,8,5
2015-05-01 18:55:02,3,4,8,6
2015-05-01 18:55:03,3,4,8,6
2015-05-01 18:55:04,3,4,8,6
2015-05-01 18:55:05,8,4,1,2
2015-05-01 18:55:06,8,4,3,2
2015-05-01 18:55:07,8,2,0,0
2015-05-01 18:55:08,6,2,0,0
2015-05-01 18:55:09,6,2,6,0
2015-05-01 18:55:10,7,2,6,0
2015-05-01 18:55:11,7,2,6,0
2015-05-01 18:55:12,7,2,6,0
2015-05-01 18:55:13,7,2,6,0
2015-05-01 18:55:14,5,2,0,0
2015-05-01 18:55:15,7,1,0,0
2015-05-01 18:55:16,7,1,0,0
2015-05-01 18:55:17,7,1,0,0
2015-05-01 18:55:18,7,1,0,0
2015-05-01 18:55:19,7,1,0,0
2015-05-01 18:55:20,7,1,0,0
2015-05-01 18:55:21,7,1,0,2
2015-05-01 18:55:22,7,1,6,2
2015-05-01 18:55:23,7,3,6,2
