time,charles,christina,jonathan
2014-08-14 18:55:55,0,0,0
2014-08-14 18:55:56,0,0,0
2014-08-14 18:55:57,0,0,0
2014-08-14 18:55:58,0,0,0
2014-08-14 18:55:59,0,0,0
2014-08-14 18:56:00,0,0,0
2014-08-14 18:56:01,0,0,0
2014-08-14 18:56:02,0,0,0
2014-08-14 18:56:03,0,0,0
2014-08-14 18:56:04,0,0,0
2014-08-14 18:56:05,0,0,0
2014-08-14 18:56:06,0,0,0
2014-08-14 18:56:07,0,0,0
2014-08-14 18:56:08,0,0,0
2014-08-14 18:56:09,0,0,0
2014-08-14 18:56:10,0,0,0
2014-08-14 18:56:11,0,0,0
2014-08-14 18:56:12,0,0,0
2014-08-14 18:56:13,0,0,0
2014-08-14 18:56:14,0,0,0
2014-08-14 18:56:15,0,0,0
2014-08-14 18:56:16,0,0,0
2014-08-14 18:56:17,0,0,0
2014-08-14 18:56:18,0,0,0
2014-08-14 18:56:19,0,0,0
2014-08-14 18:56:20,0,0,0
2014-08-14 18:56:21,0,0,0
2014-08-14 18:56:22,0,0,0
2014-08-14 18:56:23,0,0,0
2014-08-14 18:56:24,0,0,0
2014-08-14 18:56:25,0,0,0
2014-08-14 18:56:26,0,0,0
2014-08-14 18:56:27,0,0,0
2014-08-14 18:56:28,0,0,0
2014-08-14 18:56:29,0,0,0
2014-08-14 18:56:30,0,0,0
2014-08-14 18:56:31,0,0,0
2014-08-14 18:56:32,0,0,0
2014-08-14 18:56:33,0,0,0
2014-08-14 18:56:34,0,0,0
2014-08-14 18:56:35,0,0,0
2014-08-14 18:56:36,0,0,0
2014-08-14 18:56:37,0,0,0
2014-08-14 18:56:38,0,0,0
2014-08-14 18:56:39,0,0,0
2014-08-14 18:56:40,0,0,0
2014-08-14 18:56:41,0,0,0
2014-08-14 18:56:42,0,0,0
2014-08-14 18:56:43,0,0,0
2014-08-14 18:56:44,0,0,0
2014-08-14 18:56:45,0,0,0
2014-08-14 18:56:46,0,0,0
2014-08-14 18:56:47,0,0,0
2014-08-14 18:56:48,0,0,0
2014-08-14 18:56:49,0,0,0
2014-08-14 18:56:50,0,0,0
2014-08-14 18:56:51,0,0,0
2014-08-14 18:56:52,0,0,0
2014-08-14 18:56:53,0,0,0
2014-08-14 18:56:54,0,0,0
2014-08-14 18:56:55,0,0,0
2014-08-14 18:56:56,0,0,0
2014-08-14 18:56:57,0,0,0
2014-08-14 18:56:58,0,0,0
2014-08-14 18:56:59,0,0,0
2014-08-14 18:57:00,0,0,0
2014-08-14 18:57:01,0,2,0
2014-08-14 18:57:02,0,2,0
2014-08-14 18:57:03,0,2,0
2014-08-14 18:57:04,2,2,0
