time,charles,jonathan,christina,yvonne,00088B8E-D27C-4AE1-8102-5FE318589D3E
2014-04-28 18:35:55,2,0,0,0,0
2014-04-28 18:35:56,2,0,0,0,0
2014-04-28 18:35:57,2,0,0,0,0
2014-04-28 18:35:58,2,0,0,0,0
2014-04-28 18:35:59,2,0,0,0,0
2014-04-28 18:36:00,2,0,0,0,0
2014-04-28 18:36:01,2,0,0,0,0
2014-04-28 18:36:02,2,0,0,0,0
2014-04-28 18:36:03,2,0,0,0,0
2014-04-28 18:36:04,2,0,0,0,0
2014-04-28 18:36:05,2,0,0,0,0
2014-04-28 18:36:06,0,0,0,0,0
2014-04-28 18:36:07,2,0,0,0,0
2014-04-28 18:36:08,2,0,0,0,0
2014-04-28 18:36:09,2,0,0,0,0
2014-04-28 18:36:10,2,0,0,0,0
2014-04-28 18:36:11,2,0,0,0,0
2014-04-28 18:36:12,2,0,0,0,0
2014-04-28 18:36:13,2,0,0,0,0
2014-04-28 18:36:14,2,0,0,0,0
2014-04-28 18:36:15,2,0,0,0,0
2014-04-28 18:36:16,2,0,0,0,0
2014-04-28 18:36:17,2,0,0,0,0
2014-04-28 18:36:18,2,0,0,0,0
2014-04-28 18:36:19,2,0,0,0,0
2014-04-28 18:36:20,2,0,0,0,0
2014-04-28 18:36:21,2,0,0,0,0
2014-04-28 18:36:22,2,0,2,0,0
2014-04-28 18:36:23,2,0,2,0,0
2014-04-28 18:36:24,2,0,2,0,0
2014-04-28 18:36:25,2,0,3,0,0
2014-04-28 18:36:26,3,0,1,0,0
2014-04-28 18:36:27,2,0,1,0,0
2014-04-28 18:36:28,2,0,1,0,0
2014-04-28 18:36:29,2,0,1,0,0
2014-04-28 18:36:30,2,0,3,0,0
2014-04-28 18:36:31,2,0,3,0,0
2014-04-28 18:36:32,2,0,3,0,0
2014-04-28 18:36:33,2,0,3,0,0
2014-04-28 18:36:34,2,0,3,0,0
2014-04-28 18:36:35,2,0,3,0,0
2014-04-28 18:36:36,2,0,3,0,0
2014-04-28 18:36:37,2,0,3,0,0
2014-04-28 18:36:38,2,0,2,0,0
2014-04-28 18:36:39,2,0,2,0,0
2014-04-28 18:36:40,2,0,2,0,0
2014-04-28 18:36:41,2,0,0,0,0
2014-04-28 18:36:42,0,0,2,0,0
2014-04-28 18:36:43,0,0,2,0,0
2014-04-28 18:36:44,0,0,5,0,0
2014-04-28 18:36:45,0,0,5,0,0
2014-04-28 18:36:46,0,0,5,0,0
2014-04-28 18:36:47,2,0,5,0,0
2014-04-28 18:36:48,2,0,5,0,0
2014-04-28 18:36:49,2,0,2,0,0
2014-04-28 18:36:50,2,0,2,0,0
2014-04-28 18:36:51,1,0,5,0,0
2014-04-28 18:36:52,2,0,5,0,0
2014-04-28 18:36:53,3,0,1,0,0
2014-04-28 18:36:54,2,0,1,0,0
2014-04-28 18:36:55,2,0,5,0,0
2014-04-28 18:36:56,2,0,5,0,0
2014-04-28 18:36:57,2,0,2,0,0
2014-04-28 18:36:58,2,0,2,0,0
2014-04-28 18:36:59,2,0,3,0,0
2014-04-28 18:37:00,2,0,3,0,0
2014-04-28 18:37:01,2,0,3,0,0
2014-04-28 18:37:02,2,0,3,0,0
2014-04-28 18:37:03,2,0,3,0,0
2014-04-28 18:37:04,0,0,1,0,0
2014-04-28 18:37:05,0,0,3,0,0
2014-04-28 18:37:06,0,0,3,0,0
2014-04-28 18:37:07,0,0,2,0,0
2014-04-28 18:37:08,0,0,2,0,0
2014-04-28 18:37:09,0,0,2,0,0
2014-04-28 18:37:10,2,0,2,2,0
2014-04-28 18:37:11,2,0,2,2,0
2014-04-28 18:37:12,2,0,2,2,0
2014-04-28 18:37:13,2,0,0,2,0
2014-04-28 18:37:14,4,0,0,8,0
2014-04-28 18:37:15,4,0,0,3,0
2014-04-28 18:37:16,4,0,0,4,0
2014-04-28 18:37:17,6,0,0,4,0
2014-04-28 18:37:18,6,0,0,4,0
2014-04-28 18:37:19,2,0,0,4,0
2014-04-28 18:37:20,2,0,0,4,0
2014-04-28 18:37:21,2,0,0,4,0
2014-04-28 18:37:22,4,0,0,4,0
2014-04-28 18:37:23,4,0,0,3,0
2014-04-28 18:37:24,3,0,0,2,0
2014-04-28 18:37:25,3,0,0,4,0
2014-04-28 18:37:26,3,0,0,4,0
2014-04-28 18:37:27,3,0,0,8,0
2014-04-28 18:37:28,5,0,0,4,0
2014-04-28 18:37:29,5,0,0,4,0
2014-04-28 18:37:30,5,0,0,4,0
2014-04-28 18:37:31,5,0,0,4,0
2014-04-28 18:37:32,2,0,0,4,0
2014-04-28 18:37:33,2,0,0,4,2
2014-04-28 18:37:34,2,0,0,4,3
2014-04-28 18:37:35,2,0,0,4,3
2014-04-28 18:37:36,2,0,0,8,3
2014-04-28 18:37:37,3,0,0,8,3
2014-04-28 18:37:38,3,0,0,4,3
2014-04-28 18:37:39,3,0,0,4,3
2014-04-28 18:37:40,3,0,0,4,3
2014-04-28 18:37:41,3,0,0,6,3
2014-04-28 18:37:42,3,0,0,6,4
2014-04-28 18:37:43,3,0,0,8,4
2014-04-28 18:37:44,1,0,0,8,4
2014-04-28 18:37:45,1,0,0,7,8
2014-04-28 18:37:46,1,0,0,7,8
2014-04-28 18:37:47,3,0,0,8,5
2014-04-28 18:37:48,1,0,0,6,1
2014-04-28 18:37:49,3,0,0,7,1
2014-04-28 18:37:50,3,0,0,4,2
2014-04-28 18:37:51,3,0,0,4,2
2014-04-28 18:37:52,1,0,0,7,2
2014-04-28 18:37:53,3,0,0,6,2
2014-04-28 18:37:54,3,0,0,6,2
2014-04-28 18:37:55,3,0,0,8,3
2014-04-28 18:37:56,3,0,0,8,3
2014-04-28 18:37:57,1,0,0,4,3
2014-04-28 18:37:58,1,0,0,4,3
2014-04-28 18:37:59,1,0,0,3,3
2014-04-28 18:38:00,1,0,0,3,3
2014-04-28 18:38:01,1,0,0,3,3
2014-04-28 18:38:02,3,0,0,3,4
2014-04-28 18:38:03,3,0,0,4,4
2014-04-28 18:38:04,3,0,0,4,4
2014-04-28 18:38:05,2,0,0,4,4
2014-04-28 18:38:06,2,0,0,3,4
2014-04-28 18:38:07,0,0,0,4,4
2014-04-28 18:38:08,0,0,0,4,4
2014-04-28 18:38:09,0,0,0,3,3
2014-04-28 18:38:10,0,0,0,4,3
2014-04-28 18:38:11,0,0,0,3,4
2014-04-28 18:38:12,0,0,0,3,3
2014-04-28 18:38:13,0,0,0,3,3
2014-04-28 18:38:14,0,0,0,3,3
2014-04-28 18:38:15,2,0,0,3,3
2014-04-28 18:38:16,2,0,0,4,3
2014-04-28 18:38:17,2,0,0,4,4
2014-04-28 18:38:18,4,0,0,3,3
2014-04-28 18:38:19,4,0,0,3,2
2014-04-28 18:38:20,3,0,0,3,0
2014-04-28 18:38:21,3,0,0,3,0
2014-04-28 18:38:22,3,0,0,3,4
2014-04-28 18:38:23,3,0,0,3,4
2014-04-28 18:38:24,3,0,0,4,8
2014-04-28 18:38:25,3,0,0,3,8
2014-04-28 18:38:26,4,0,0,3,8
2014-04-28 18:38:27,3,0,0,3,4
2014-04-28 18:38:28,4,0,0,3,8
2014-04-28 18:38:29,4,0,0,3,3
2014-04-28 18:38:30,4,0,0,4,3
2014-04-28 18:38:31,3,0,0,3,3
2014-04-28 18:38:32,3,0,0,3,3
2014-04-28 18:38:33,3,0,0,3,2
2014-04-28 18:38:34,3,0,0,3,2
2014-04-28 18:38:35,3,0,0,3,6
2014-04-28 18:38:36,8,0,0,4,8
2014-04-28 18:38:37,8,0,0,4,8
2014-04-28 18:38:38,8,0,0,8,8
2014-04-28 18:38:39,2,0,0,3,4
2014-04-28 18:38:40,0,0,0,8,8
2014-04-28 18:38:41,0,0,0,8,8
2014-04-28 18:38:42,0,0,0,3,8
2014-04-28 18:38:43,0,0,0,3,3
2014-04-28 18:38:44,2,0,0,8,3
2014-04-28 18:38:45,2,0,0,3,8
2014-04-28 18:38:46,2,0,0,8,8
2014-04-28 18:38:47,2,0,0,8,8
2014-04-28 18:38:48,2,0,0,3,5
2014-04-28 18:38:49,2,0,0,3,5
2014-04-28 18:38:50,2,0,0,3,2
2014-04-28 18:38:51,1,0,0,4,1
2014-04-28 18:38:52,1,0,0,4,1
2014-04-28 18:38:53,2,0,0,4,3
2014-04-28 18:38:54,1,0,0,4,3
2014-04-28 18:38:55,2,0,0,4,3
2014-04-28 18:38:56,2,0,0,4,3
2014-04-28 18:38:57,2,0,0,7,3
2014-04-28 18:38:58,2,0,0,4,2
2014-04-28 18:38:59,2,0,0,4,2
2014-04-28 18:39:00,2,0,0,4,4
2014-04-28 18:39:01,2,0,0,4,0
2014-04-28 18:39:02,2,0,0,4,0
2014-04-28 18:39:03,2,0,0,8,0
2014-04-28 18:39:04,2,0,0,3,0
2014-04-28 18:39:05,2,0,0,3,0
2014-04-28 18:39:06,2,0,0,3,0
2014-04-28 18:39:07,2,0,0,3,0
2014-04-28 18:39:08,2,0,0,3,0
2014-04-28 18:39:09,2,0,0,4,0
