time,0E98DD2F-94C2-45EE-BEC5-18718CA36D8B,jonathan
2014-03-13 15:37:14,0,0
2014-03-13 15:37:15,0,0
2014-03-13 15:37:16,0,0
2014-03-13 15:37:17,0,0
2014-03-13 15:37:18,0,0
2014-03-13 15:37:19,0,0
2014-03-13 15:37:20,0,0
2014-03-13 15:37:21,0,0
2014-03-13 15:37:22,0,0
2014-03-13 15:37:23,0,0
2014-03-13 15:37:24,0,0
2014-03-13 15:37:25,0,0
2014-03-13 15:37:26,0,0
2014-03-13 15:37:27,0,0
2014-03-13 15:37:28,0,0
2014-03-13 15:37:29,0,0
2014-03-13 15:37:30,0,0
2014-03-13 15:37:31,0,0
2014-03-13 15:37:32,0,0
2014-03-13 15:37:33,0,0
2014-03-13 15:37:34,0,0
2014-03-13 15:37:35,0,0
2014-03-13 15:37:36,0,0
2014-03-13 15:37:37,0,0
2014-03-13 15:37:38,0,0
2014-03-13 15:37:39,0,0
2014-03-13 15:37:40,0,0
2014-03-13 15:37:41,0,0
2014-03-13 15:37:42,0,0
2014-03-13 15:37:43,0,0
2014-03-13 15:37:44,0,0
2014-03-13 15:37:45,0,0
2014-03-13 15:37:46,0,0
2014-03-13 15:37:47,0,0
2014-03-13 15:37:48,0,0
2014-03-13 15:37:49,0,0
2014-03-13 15:37:50,0,0
2014-03-13 15:37:51,0,0
2014-03-13 15:37:52,0,0
2014-03-13 15:37:53,0,0
2014-03-13 15:37:54,0,0
2014-03-13 15:37:55,0,0
2014-03-13 15:37:56,0,0
2014-03-13 15:37:57,0,0
2014-03-13 15:37:58,0,0
2014-03-13 15:37:59,0,0
2014-03-13 15:38:00,0,0
2014-03-13 15:38:01,0,0
2014-03-13 15:38:02,0,0
2014-03-13 15:38:03,0,0
2014-03-13 15:38:04,0,0
2014-03-13 15:38:05,0,0
2014-03-13 15:38:06,0,0
2014-03-13 15:38:07,0,0
2014-03-13 15:38:08,0,0
2014-03-13 15:38:09,0,0
2014-03-13 15:38:10,0,0
2014-03-13 15:38:11,0,0
2014-03-13 15:38:12,0,0
2014-03-13 15:38:13,2,0
2014-03-13 15:38:14,2,0
2014-03-13 15:38:15,2,0
2014-03-13 15:38:16,2,0
2014-03-13 15:38:17,2,0
2014-03-13 15:38:18,2,0
2014-03-13 15:38:19,2,0
2014-03-13 15:38:20,2,0
2014-03-13 15:38:21,2,0
2014-03-13 15:38:22,8,0
2014-03-13 15:38:23,8,0
2014-03-13 15:38:24,7,0
2014-03-13 15:38:25,7,0
2014-03-13 15:38:26,7,0
2014-03-13 15:38:27,7,0
2014-03-13 15:38:28,7,0
2014-03-13 15:38:29,7,0
2014-03-13 15:38:30,7,0
2014-03-13 15:38:31,7,0
2014-03-13 15:38:32,7,0
2014-03-13 15:38:33,7,0
2014-03-13 15:38:34,7,0
2014-03-13 15:38:35,7,0
2014-03-13 15:38:36,7,0
2014-03-13 15:38:37,5,0
2014-03-13 15:38:38,2,0
2014-03-13 15:38:39,2,0
2014-03-13 15:38:40,0,0
2014-03-13 15:38:41,0,0
2014-03-13 15:38:42,2,0
2014-03-13 15:38:43,4,0
2014-03-13 15:38:44,4,0
2014-03-13 15:38:45,4,0
2014-03-13 15:38:46,7,0
2014-03-13 15:38:47,7,0
2014-03-13 15:38:48,7,0
