time,yvonne,christina,jonathan,charles
2014-04-28 18:09:04,0,0,0,0
2014-04-28 18:09:05,0,0,0,0
2014-04-28 18:09:06,0,0,0,0
2014-04-28 18:09:07,0,0,0,0
2014-04-28 18:09:08,0,0,0,0
2014-04-28 18:09:09,0,0,0,0
2014-04-28 18:09:10,0,0,0,0
2014-04-28 18:09:11,0,0,0,2
2014-04-28 18:09:12,0,0,0,2
2014-04-28 18:09:13,0,0,0,2
2014-04-28 18:09:14,0,0,0,2
2014-04-28 18:09:15,0,0,0,2
2014-04-28 18:09:16,8,0,0,2
2014-04-28 18:09:17,8,0,0,2
2014-04-28 18:09:18,8,0,0,3
2014-04-28 18:09:19,8,0,0,3
2014-04-28 18:09:20,8,0,0,2
2014-04-28 18:09:21,8,0,0,2
2014-04-28 18:09:22,2,0,0,2
2014-04-28 18:09:23,2,0,2,0
2014-04-28 18:09:24,2,0,3,0
2014-04-28 18:09:25,1,6,3,2
2014-04-28 18:09:26,1,6,3,2
2014-04-28 18:09:27,1,2,3,2
2014-04-28 18:09:28,1,2,3,2
2014-04-28 18:09:29,3,2,0,2
2014-04-28 18:09:30,0,3,0,2
2014-04-28 18:09:31,0,3,0,2
2014-04-28 18:09:32,0,3,0,2
2014-04-28 18:09:33,0,3,0,2
2014-04-28 18:09:34,0,2,0,2
2014-04-28 18:09:35,0,2,0,2
2014-04-28 18:09:36,0,2,0,2
2014-04-28 18:09:37,0,2,0,0
2014-04-28 18:09:38,0,7,0,0
2014-04-28 18:09:39,0,4,0,0
2014-04-28 18:09:40,0,7,0,0
2014-04-28 18:09:41,0,7,0,0
2014-04-28 18:09:42,0,7,0,0
2014-04-28 18:09:43,0,7,0,0
2014-04-28 18:09:44,0,7,0,0
2014-04-28 18:09:45,0,2,0,0
2014-04-28 18:09:46,0,4,0,2
2014-04-28 18:09:47,0,4,0,2
2014-04-28 18:09:48,0,4,0,2
2014-04-28 18:09:49,0,4,0,2
2014-04-28 18:09:50,0,4,0,2
2014-04-28 18:09:51,0,4,0,2
2014-04-28 18:09:52,0,4,0,2
2014-04-28 18:09:53,0,4,0,0
2014-04-28 18:09:54,0,7,0,0
2014-04-28 18:09:55,0,7,0,0
2014-04-28 18:09:56,0,4,0,0
2014-04-28 18:09:57,0,0,0,0
2014-04-28 18:09:58,0,0,0,0
2014-04-28 18:09:59,0,0,0,0
2014-04-28 18:10:00,0,0,0,0
2014-04-28 18:10:01,0,0,0,0
2014-04-28 18:10:02,0,0,0,0
2014-04-28 18:10:03,0,0,0,0
2014-04-28 18:10:04,0,0,0,0
2014-04-28 18:10:05,0,0,0,0
2014-04-28 18:10:06,0,0,0,0
2014-04-28 18:10:07,0,0,0,0
2014-04-28 18:10:08,0,6,0,0
2014-04-28 18:10:09,0,6,0,0
2014-04-28 18:10:10,0,6,0,0
2014-04-28 18:10:11,0,6,0,0
2014-04-28 18:10:12,0,6,0,0
2014-04-28 18:10:13,0,8,0,0
2014-04-28 18:10:14,0,2,0,0
2014-04-28 18:10:15,0,2,0,0
2014-04-28 18:10:16,0,2,0,0
2014-04-28 18:10:17,0,2,0,0
2014-04-28 18:10:18,0,2,0,0
2014-04-28 18:10:19,0,2,0,0
2014-04-28 18:10:20,0,2,0,0
2014-04-28 18:10:21,0,0,0,0
2014-04-28 18:10:22,0,0,0,0
2014-04-28 18:10:23,0,0,0,0
2014-04-28 18:10:24,0,0,0,0
2014-04-28 18:10:25,0,6,0,0
2014-04-28 18:10:26,0,6,0,0
2014-04-28 18:10:27,0,2,0,0
2014-04-28 18:10:28,0,2,0,0
2014-04-28 18:10:29,0,3,0,0
2014-04-28 18:10:30,0,3,0,0
2014-04-28 18:10:31,0,3,0,0
2014-04-28 18:10:32,0,3,0,0
2014-04-28 18:10:33,0,4,0,0
2014-04-28 18:10:34,0,4,0,0
2014-04-28 18:10:35,0,4,0,0
2014-04-28 18:10:36,0,4,0,0
2014-04-28 18:10:37,0,4,0,0
2014-04-28 18:10:38,0,4,0,0
2014-04-28 18:10:39,0,4,0,0
2014-04-28 18:10:40,0,4,0,0
2014-04-28 18:10:41,0,4,0,0
2014-04-28 18:10:42,0,4,0,0
2014-04-28 18:10:43,2,4,0,0
2014-04-28 18:10:44,2,4,0,0
2014-04-28 18:10:45,4,0,0,0
2014-04-28 18:10:46,4,0,0,0
2014-04-28 18:10:47,3,4,0,0
2014-04-28 18:10:48,3,3,0,0
2014-04-28 18:10:49,3,4,0,0
2014-04-28 18:10:50,3,4,0,0
2014-04-28 18:10:51,1,4,0,0
2014-04-28 18:10:52,1,4,0,0
2014-04-28 18:10:53,1,7,0,0
2014-04-28 18:10:54,1,4,0,0
2014-04-28 18:10:55,3,4,0,0
2014-04-28 18:10:56,3,8,0,0
2014-04-28 18:10:57,4,8,0,0
2014-04-28 18:10:58,0,8,0,0
2014-04-28 18:10:59,0,7,0,0
2014-04-28 18:11:00,0,2,0,0
2014-04-28 18:11:01,0,2,0,0
2014-04-28 18:11:02,0,8,0,0
2014-04-28 18:11:03,0,8,0,0
2014-04-28 18:11:04,0,8,0,0
2014-04-28 18:11:05,0,8,0,0
2014-04-28 18:11:06,0,8,0,0
2014-04-28 18:11:07,0,2,0,0
2014-04-28 18:11:08,0,2,0,0
2014-04-28 18:11:09,0,2,0,0
2014-04-28 18:11:10,0,2,0,0
2014-04-28 18:11:11,0,2,0,0
2014-04-28 18:11:12,0,2,2,0
2014-04-28 18:11:13,0,2,2,0
2014-04-28 18:11:14,0,8,2,0
2014-04-28 18:11:15,0,8,2,0
2014-04-28 18:11:16,0,8,2,0
2014-04-28 18:11:17,0,8,2,0
2014-04-28 18:11:18,0,8,2,0
2014-04-28 18:11:19,0,2,3,0
2014-04-28 18:11:20,0,2,3,0
2014-04-28 18:11:21,0,2,3,0
2014-04-28 18:11:22,0,2,3,0
2014-04-28 18:11:23,0,4,3,0
2014-04-28 18:11:24,0,4,3,0
2014-04-28 18:11:25,0,4,2,0
2014-04-28 18:11:26,0,4,2,0
2014-04-28 18:11:27,0,4,2,0
2014-04-28 18:11:28,0,3,2,0
2014-04-28 18:11:29,0,2,2,0
2014-04-28 18:11:30,0,2,2,0
2014-04-28 18:11:31,0,2,2,0
2014-04-28 18:11:32,0,2,2,0
2014-04-28 18:11:33,0,3,2,0
2014-04-28 18:11:34,0,3,2,0
2014-04-28 18:11:35,0,3,4,0
2014-04-28 18:11:36,0,3,2,0
2014-04-28 18:11:37,0,3,2,0
2014-04-28 18:11:38,0,2,2,0
2014-04-28 18:11:39,0,0,2,0
2014-04-28 18:11:40,0,2,4,0
2014-04-28 18:11:41,0,2,4,0
2014-04-28 18:11:42,0,2,4,0
2014-04-28 18:11:43,0,2,3,0
2014-04-28 18:11:44,0,2,4,0
2014-04-28 18:11:45,0,0,3,0
2014-04-28 18:11:46,0,0,4,0
2014-04-28 18:11:47,0,0,4,0
2014-04-28 18:11:48,0,3,4,0
2014-04-28 18:11:49,0,4,4,0
2014-04-28 18:11:50,0,3,3,0
2014-04-28 18:11:51,0,3,3,0
2014-04-28 18:11:52,0,3,3,0
2014-04-28 18:11:53,0,3,3,0
2014-04-28 18:11:54,0,3,4,0
2014-04-28 18:11:55,0,4,2,0
2014-04-28 18:11:56,0,4,0,0
2014-04-28 18:11:57,0,2,0,0
2014-04-28 18:11:58,0,0,0,0
2014-04-28 18:11:59,0,0,0,0
2014-04-28 18:12:00,0,0,0,0
2014-04-28 18:12:01,0,0,0,0
2014-04-28 18:12:02,0,0,0,0
2014-04-28 18:12:03,0,0,0,0
2014-04-28 18:12:04,0,0,0,0
2014-04-28 18:12:05,0,0,0,0
2014-04-28 18:12:06,0,0,0,0
2014-04-28 18:12:07,0,0,0,0
2014-04-28 18:12:08,2,0,0,0
2014-04-28 18:12:09,2,0,0,0
2014-04-28 18:12:10,2,0,0,0
2014-04-28 18:12:11,2,0,0,0
2014-04-28 18:12:12,2,0,0,0
2014-04-28 18:12:13,2,0,0,0
2014-04-28 18:12:14,2,0,0,0
2014-04-28 18:12:15,2,0,0,0
2014-04-28 18:12:16,2,0,0,0
2014-04-28 18:12:17,0,0,0,0
2014-04-28 18:12:18,0,0,0,0
2014-04-28 18:12:19,0,0,0,0
2014-04-28 18:12:20,0,0,0,0
2014-04-28 18:12:21,0,0,0,0
2014-04-28 18:12:22,0,0,0,0
