time,christina,jonathan,charles
2014-03-08 11:53:26,6,7,7
2014-03-08 11:53:27,6,7,7
2014-03-08 11:53:28,6,7,7
2014-03-08 11:53:29,6,7,7
2014-03-08 11:53:30,6,7,7
2014-03-08 11:53:31,7,7,7
2014-03-08 11:53:32,7,7,7
2014-03-08 11:53:33,7,7,7
2014-03-08 11:53:34,6,7,7
2014-03-08 11:53:35,6,7,7
2014-03-08 11:53:36,6,7,7
2014-03-08 11:53:37,6,7,7
2014-03-08 11:53:38,6,7,7
2014-03-08 11:53:39,6,7,7
2014-03-08 11:53:40,6,7,8
2014-03-08 11:53:41,7,7,8
2014-03-08 11:53:42,7,7,8
2014-03-08 11:53:43,6,7,7
2014-03-08 11:53:44,6,7,7
2014-03-08 11:53:45,6,7,7
2014-03-08 11:53:46,6,7,7
2014-03-08 11:53:47,6,7,7
2014-03-08 11:53:48,7,7,7
2014-03-08 11:53:49,7,7,7
2014-03-08 11:53:50,7,7,7
2014-03-08 11:53:51,7,7,7
2014-03-08 11:53:52,7,7,7
2014-03-08 11:53:53,7,7,7
2014-03-08 11:53:54,7,7,7
2014-03-08 11:53:55,7,7,7
2014-03-08 11:53:56,7,7,7
2014-03-08 11:53:57,6,7,7
2014-03-08 11:53:58,6,7,7
2014-03-08 11:53:59,6,7,7
2014-03-08 11:54:00,6,7,7
2014-03-08 11:54:01,6,7,7
2014-03-08 11:54:02,6,7,7
2014-03-08 11:54:03,6,7,7
2014-03-08 11:54:04,7,7,7
2014-03-08 11:54:05,7,7,7
2014-03-08 11:54:06,7,7,7
2014-03-08 11:54:07,7,7,7
2014-03-08 11:54:08,7,7,7
2014-03-08 11:54:09,7,7,4
2014-03-08 11:54:10,7,7,4
2014-03-08 11:54:11,2,7,4
2014-03-08 11:54:12,2,7,8
2014-03-08 11:54:13,2,7,8
2014-03-08 11:54:14,2,7,8
2014-03-08 11:54:15,2,7,8
2014-03-08 11:54:16,2,7,8
2014-03-08 11:54:17,2,7,8
2014-03-08 11:54:18,0,8,8
2014-03-08 11:54:19,0,8,8
2014-03-08 11:54:20,0,7,8
2014-03-08 11:54:21,2,7,8
2014-03-08 11:54:22,2,7,8
2014-03-08 11:54:23,2,7,8
2014-03-08 11:54:24,2,7,8
2014-03-08 11:54:25,2,7,8
2014-03-08 11:54:26,2,7,8
2014-03-08 11:54:27,2,7,8
2014-03-08 11:54:28,2,7,8
2014-03-08 11:54:29,2,7,8
2014-03-08 11:54:30,2,7,8
2014-03-08 11:54:31,2,7,8
2014-03-08 11:54:32,2,7,8
2014-03-08 11:54:33,2,7,4
2014-03-08 11:54:34,2,7,4
2014-03-08 11:54:35,2,7,4
2014-03-08 11:54:36,2,7,4
2014-03-08 11:54:37,2,7,4
2014-03-08 11:54:38,2,7,4
2014-03-08 11:54:39,2,7,4
2014-03-08 11:54:40,2,7,4
2014-03-08 11:54:41,2,7,4
2014-03-08 11:54:42,2,4,3
2014-03-08 11:54:43,2,4,4
2014-03-08 11:54:44,2,4,4
2014-03-08 11:54:45,2,4,4
2014-03-08 11:54:46,2,7,3
2014-03-08 11:54:47,2,7,4
2014-03-08 11:54:48,2,7,3
2014-03-08 11:54:49,2,7,3
2014-03-08 11:54:50,2,7,3
2014-03-08 11:54:51,2,7,3
2014-03-08 11:54:52,2,7,3
2014-03-08 11:54:53,2,7,3
2014-03-08 11:54:54,2,7,3
2014-03-08 11:54:55,2,7,3
2014-03-08 11:54:56,2,7,4
2014-03-08 11:54:57,2,7,8
2014-03-08 11:54:58,2,7,8
2014-03-08 11:54:59,2,7,8
2014-03-08 11:55:00,2,7,8
2014-03-08 11:55:01,2,7,8
2014-03-08 11:55:02,2,7,4
2014-03-08 11:55:03,2,7,3
2014-03-08 11:55:04,2,7,3
2014-03-08 11:55:05,2,6,3
2014-03-08 11:55:06,2,3,3
2014-03-08 11:55:07,2,0,3
2014-03-08 11:55:08,2,0,3
2014-03-08 11:55:09,2,0,4
2014-03-08 11:55:10,2,4,3
2014-03-08 11:55:11,2,4,3
2014-03-08 11:55:12,2,4,4
2014-03-08 11:55:13,2,4,4
2014-03-08 11:55:14,2,4,4
2014-03-08 11:55:15,2,7,4
2014-03-08 11:55:16,2,7,4
2014-03-08 11:55:17,2,4,3
2014-03-08 11:55:18,2,4,3
2014-03-08 11:55:19,2,7,3
2014-03-08 11:55:20,2,7,3
2014-03-08 11:55:21,2,7,3
2014-03-08 11:55:22,2,7,3
2014-03-08 11:55:23,2,7,3
2014-03-08 11:55:24,2,7,3
2014-03-08 11:55:25,2,7,3
2014-03-08 11:55:26,2,7,3
2014-03-08 11:55:27,2,7,3
2014-03-08 11:55:28,2,7,3
2014-03-08 11:55:29,2,7,3
2014-03-08 11:55:30,2,4,3
2014-03-08 11:55:31,2,4,3
2014-03-08 11:55:32,2,4,3
2014-03-08 11:55:33,2,7,3
2014-03-08 11:55:34,2,4,3
2014-03-08 11:55:35,2,4,3
2014-03-08 11:55:36,2,4,3
2014-03-08 11:55:37,2,4,4
2014-03-08 11:55:38,2,4,3
2014-03-08 11:55:39,2,4,3
2014-03-08 11:55:40,2,2,3
2014-03-08 11:55:41,2,3,3
2014-03-08 11:55:42,2,3,3
2014-03-08 11:55:43,2,8,3
2014-03-08 11:55:44,2,4,3
2014-03-08 11:55:45,2,4,3
2014-03-08 11:55:46,2,4,3
2014-03-08 11:55:47,2,4,3
2014-03-08 11:55:48,2,7,3
2014-03-08 11:55:49,2,4,3
2014-03-08 11:55:50,2,7,3
2014-03-08 11:55:51,2,7,3
2014-03-08 11:55:52,2,7,3
2014-03-08 11:55:53,2,4,3
2014-03-08 11:55:54,2,7,3
2014-03-08 11:55:55,2,7,3
2014-03-08 11:55:56,2,7,3
2014-03-08 11:55:57,1,7,3
2014-03-08 11:55:58,1,7,3
2014-03-08 11:55:59,1,4,3
2014-03-08 11:56:00,1,4,3
2014-03-08 11:56:01,1,4,3
2014-03-08 11:56:02,1,4,3
2014-03-08 11:56:03,2,7,3
2014-03-08 11:56:04,2,4,3
2014-03-08 11:56:05,2,7,3
2014-03-08 11:56:06,1,4,3
2014-03-08 11:56:07,1,8,1
2014-03-08 11:56:08,1,4,1
2014-03-08 11:56:09,1,4,1
2014-03-08 11:56:10,1,4,1
2014-03-08 11:56:11,1,3,1
2014-03-08 11:56:12,1,4,1
2014-03-08 11:56:13,1,8,1
2014-03-08 11:56:14,1,7,1
2014-03-08 11:56:15,1,8,1
2014-03-08 11:56:16,1,8,1
2014-03-08 11:56:17,1,3,1
2014-03-08 11:56:18,1,8,2
2014-03-08 11:56:19,1,4,1
2014-03-08 11:56:20,1,4,3
2014-03-08 11:56:21,2,4,3
2014-03-08 11:56:22,2,4,1
2014-03-08 11:56:23,2,2,3
2014-03-08 11:56:24,2,2,3
2014-03-08 11:56:25,2,2,1
2014-03-08 11:56:26,2,2,3
2014-03-08 11:56:27,2,2,1
2014-03-08 11:56:28,2,2,3
2014-03-08 11:56:29,2,2,3
2014-03-08 11:56:30,2,2,3
2014-03-08 11:56:31,2,2,3
2014-03-08 11:56:32,2,2,3
2014-03-08 11:56:33,2,2,1
2014-03-08 11:56:34,2,2,1
2014-03-08 11:56:35,2,2,1
2014-03-08 11:56:36,2,2,1
2014-03-08 11:56:37,2,2,1
2014-03-08 11:56:38,2,2,1
2014-03-08 11:56:39,2,2,1
2014-03-08 11:56:40,2,2,1
2014-03-08 11:56:41,2,2,1
2014-03-08 11:56:42,2,2,1
2014-03-08 11:56:43,2,2,1
2014-03-08 11:56:44,2,2,1
2014-03-08 11:56:45,2,2,1
2014-03-08 11:56:46,2,2,1
2014-03-08 11:56:47,2,2,3
2014-03-08 11:56:48,4,2,3
2014-03-08 11:56:49,4,2,3
2014-03-08 11:56:50,4,2,3
2014-03-08 11:56:51,4,2,3
2014-03-08 11:56:52,4,2,4
2014-03-08 11:56:53,4,3,8
2014-03-08 11:56:54,4,3,8
2014-03-08 11:56:55,4,3,4
2014-03-08 11:56:56,4,3,4
2014-03-08 11:56:57,4,4,4
2014-03-08 11:56:58,4,8,4
2014-03-08 11:56:59,4,8,4
2014-03-08 11:57:00,4,8,4
2014-03-08 11:57:01,4,8,4
