time,christina,yvonne,jonathan,charles
2014-04-28 19:25:56,0,0,0,0
2014-04-28 19:25:57,0,0,0,0
2014-04-28 19:25:58,0,0,0,0
2014-04-28 19:25:59,0,0,0,0
2014-04-28 19:26:00,0,0,0,0
2014-04-28 19:26:01,0,0,0,0
2014-04-28 19:26:02,0,0,0,0
2014-04-28 19:26:03,0,0,0,0
2014-04-28 19:26:04,0,0,0,0
2014-04-28 19:26:05,0,0,0,0
2014-04-28 19:26:06,0,0,0,0
2014-04-28 19:26:07,0,0,0,0
2014-04-28 19:26:08,0,0,0,0
2014-04-28 19:26:09,0,0,0,0
2014-04-28 19:26:10,0,0,0,0
2014-04-28 19:26:11,0,0,0,0
2014-04-28 19:26:12,0,0,0,0
2014-04-28 19:26:13,0,0,0,0
2014-04-28 19:26:14,0,0,0,0
2014-04-28 19:26:15,0,0,0,0
2014-04-28 19:26:16,0,0,0,0
2014-04-28 19:26:17,0,0,0,2
2014-04-28 19:26:18,0,0,0,2
2014-04-28 19:26:19,0,0,0,2
2014-04-28 19:26:20,0,0,0,2
2014-04-28 19:26:21,0,0,0,2
2014-04-28 19:26:22,0,0,0,2
2014-04-28 19:26:23,0,0,0,2
2014-04-28 19:26:24,0,0,0,2
2014-04-28 19:26:25,0,0,0,2
2014-04-28 19:26:26,0,0,0,2
2014-04-28 19:26:27,0,0,0,8
2014-04-28 19:26:28,0,0,0,8
2014-04-28 19:26:29,0,0,0,4
2014-04-28 19:26:30,0,0,0,7
2014-04-28 19:26:31,0,0,0,8
2014-04-28 19:26:32,0,0,0,4
2014-04-28 19:26:33,0,0,0,4
2014-04-28 19:26:34,0,0,0,8
2014-04-28 19:26:35,0,0,0,4
2014-04-28 19:26:36,0,0,0,8
2014-04-28 19:26:37,0,2,0,7
2014-04-28 19:26:38,0,8,0,7
2014-04-28 19:26:39,0,4,0,7
2014-04-28 19:26:40,0,7,0,7
2014-04-28 19:26:41,0,7,0,7
2014-04-28 19:26:42,0,7,0,4
2014-04-28 19:26:43,0,7,0,4
2014-04-28 19:26:44,0,7,0,4
2014-04-28 19:26:45,0,4,0,8
2014-04-28 19:26:46,0,0,0,8
2014-04-28 19:26:47,0,0,0,8
2014-04-28 19:26:48,0,0,0,4
2014-04-28 19:26:49,0,0,0,4
2014-04-28 19:26:50,0,0,0,4
2014-04-28 19:26:51,0,0,0,4
2014-04-28 19:26:52,0,0,0,4
2014-04-28 19:26:53,0,0,0,2
2014-04-28 19:26:54,0,0,0,2
2014-04-28 19:26:55,0,0,0,2
2014-04-28 19:26:56,0,0,0,0
2014-04-28 19:26:57,0,0,0,0
2014-04-28 19:26:58,0,2,0,0
2014-04-28 19:26:59,0,2,0,0
2014-04-28 19:27:00,0,4,0,0
2014-04-28 19:27:01,0,4,0,0
2014-04-28 19:27:02,0,4,0,0
2014-04-28 19:27:03,0,4,0,0
2014-04-28 19:27:04,0,4,0,0
2014-04-28 19:27:05,0,4,0,0
2014-04-28 19:27:06,0,3,0,0
2014-04-28 19:27:07,0,3,2,0
2014-04-28 19:27:08,0,3,2,0
2014-04-28 19:27:09,0,3,2,0
2014-04-28 19:27:10,0,3,2,0
2014-04-28 19:27:11,0,4,2,0
2014-04-28 19:27:12,0,4,2,0
2014-04-28 19:27:13,0,4,4,0
2014-04-28 19:27:14,0,4,4,0
2014-04-28 19:27:15,0,4,4,0
2014-04-28 19:27:16,0,4,4,0
2014-04-28 19:27:17,0,4,4,0
2014-04-28 19:27:18,0,4,7,0
2014-04-28 19:27:19,0,4,7,0
2014-04-28 19:27:20,0,4,7,0
2014-04-28 19:27:21,0,4,7,0
2014-04-28 19:27:22,0,4,4,0
2014-04-28 19:27:23,0,4,2,0
2014-04-28 19:27:24,0,4,0,0
2014-04-28 19:27:25,0,2,0,0
2014-04-28 19:27:26,0,0,0,0
2014-04-28 19:27:27,0,0,0,0
2014-04-28 19:27:28,0,0,0,0
2014-04-28 19:27:29,0,0,0,0
2014-04-28 19:27:30,0,0,0,0
2014-04-28 19:27:31,0,0,0,0
2014-04-28 19:27:32,0,0,0,0
2014-04-28 19:27:33,0,0,0,0
2014-04-28 19:27:34,0,2,0,0
2014-04-28 19:27:35,0,2,0,0
2014-04-28 19:27:36,0,2,0,0
2014-04-28 19:27:37,0,2,0,0
2014-04-28 19:27:38,0,2,0,0
2014-04-28 19:27:39,0,0,0,0
2014-04-28 19:27:40,0,0,0,0
2014-04-28 19:27:41,0,0,0,0
2014-04-28 19:27:42,0,0,0,0
2014-04-28 19:27:43,0,0,0,0
2014-04-28 19:27:44,0,0,0,0
2014-04-28 19:27:45,0,0,0,0
2014-04-28 19:27:46,0,0,0,0
2014-04-28 19:27:47,0,0,0,0
2014-04-28 19:27:48,0,0,0,0
2014-04-28 19:27:49,0,0,0,0
2014-04-28 19:27:50,0,0,0,0
2014-04-28 19:27:51,0,0,0,0
2014-04-28 19:27:52,0,0,0,0
2014-04-28 19:27:53,0,0,0,0
2014-04-28 19:27:54,0,0,0,0
2014-04-28 19:27:55,0,0,0,0
2014-04-28 19:27:56,0,0,0,0
2014-04-28 19:27:57,0,0,0,0
2014-04-28 19:27:58,0,0,0,0
2014-04-28 19:27:59,0,0,0,0
2014-04-28 19:28:00,0,0,0,0
2014-04-28 19:28:01,0,0,2,0
2014-04-28 19:28:02,0,0,2,0
2014-04-28 19:28:03,0,0,2,0
