time,jonathan,yvonne,charles,christina
2014-04-29 15:28:51,3,0,0,0
2014-04-29 15:28:52,3,0,0,0
2014-04-29 15:28:53,1,0,0,0
2014-04-29 15:28:54,1,0,0,0
2014-04-29 15:28:55,2,0,0,0
2014-04-29 15:28:56,2,0,0,0
2014-04-29 15:28:57,2,0,0,0
2014-04-29 15:28:58,2,0,0,0
2014-04-29 15:28:59,2,0,0,0
2014-04-29 15:29:00,2,0,0,0
2014-04-29 15:29:01,2,0,0,0
2014-04-29 15:29:02,2,0,0,0
2014-04-29 15:29:03,2,0,0,0
2014-04-29 15:29:04,2,0,0,0
2014-04-29 15:29:05,2,0,0,0
2014-04-29 15:29:06,2,0,0,0
2014-04-29 15:29:07,2,0,0,0
2014-04-29 15:29:08,2,0,0,0
2014-04-29 15:29:09,2,0,0,0
2014-04-29 15:29:10,2,0,0,0
2014-04-29 15:29:11,2,0,0,0
2014-04-29 15:29:12,2,0,0,0
2014-04-29 15:29:13,2,0,0,0
2014-04-29 15:29:14,0,0,0,0
2014-04-29 15:29:15,2,0,0,0
2014-04-29 15:29:16,3,0,0,0
2014-04-29 15:29:17,3,0,0,0
2014-04-29 15:29:18,3,0,0,0
2014-04-29 15:29:19,3,0,0,0
2014-04-29 15:29:20,3,0,0,0
2014-04-29 15:29:21,2,0,0,0
2014-04-29 15:29:22,2,0,0,0
2014-04-29 15:29:23,2,0,0,0
2014-04-29 15:29:24,2,0,0,0
2014-04-29 15:29:25,2,0,2,0
2014-04-29 15:29:26,2,0,2,0
2014-04-29 15:29:27,2,0,2,0
2014-04-29 15:29:28,2,0,2,0
2014-04-29 15:29:29,2,0,2,0
2014-04-29 15:29:30,2,0,2,0
2014-04-29 15:29:31,2,0,6,0
2014-04-29 15:29:32,2,0,6,0
2014-04-29 15:29:33,2,0,0,0
2014-04-29 15:29:34,2,0,2,0
2014-04-29 15:29:35,2,0,2,0
2014-04-29 15:29:36,2,0,2,0
2014-04-29 15:29:37,2,0,2,0
2014-04-29 15:29:38,2,0,2,0
2014-04-29 15:29:39,2,0,2,0
2014-04-29 15:29:40,2,0,2,0
2014-04-29 15:29:41,2,0,2,0
2014-04-29 15:29:42,2,0,2,0
2014-04-29 15:29:43,2,0,2,0
2014-04-29 15:29:44,2,0,2,0
2014-04-29 15:29:45,2,0,2,0
2014-04-29 15:29:46,2,0,2,0
2014-04-29 15:29:47,0,0,2,0
2014-04-29 15:29:48,2,0,2,0
2014-04-29 15:29:49,2,0,2,0
2014-04-29 15:29:50,2,0,2,0
2014-04-29 15:29:51,2,0,2,0
2014-04-29 15:29:52,2,0,2,0
2014-04-29 15:29:53,2,0,2,0
2014-04-29 15:29:54,2,0,0,0
2014-04-29 15:29:55,2,0,2,0
2014-04-29 15:29:56,2,0,2,0
2014-04-29 15:29:57,2,0,2,0
2014-04-29 15:29:58,2,0,2,0
2014-04-29 15:29:59,2,0,2,0
2014-04-29 15:30:00,2,0,0,0
2014-04-29 15:30:01,2,0,0,0
