time,9A5116EA-2793-4C75-AC93-524C9EF550FD,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78
2015-05-08 15:48:00,1,8,1,4
2015-05-08 15:48:01,1,8,3,4
2015-05-08 15:48:02,1,8,3,4
2015-05-08 15:48:03,1,8,3,4
2015-05-08 15:48:04,1,8,3,6
2015-05-08 15:48:05,1,8,4,6
2015-05-08 15:48:06,2,8,7,7
2015-05-08 15:48:07,1,8,7,7
2015-05-08 15:48:08,1,8,6,7
2015-05-08 15:48:09,1,8,6,7
2015-05-08 15:48:10,1,8,7,5
2015-05-08 15:48:11,1,8,7,5
2015-05-08 15:48:12,1,1,7,5
2015-05-08 15:48:13,1,1,7,7
2015-05-08 15:48:14,1,1,7,4
2015-05-08 15:48:15,1,1,7,7
2015-05-08 15:48:16,1,1,7,8
2015-05-08 15:48:17,1,1,7,8
2015-05-08 15:48:18,1,1,7,8
2015-05-08 15:48:19,1,1,7,8
2015-05-08 15:48:20,1,1,7,4
2015-05-08 15:48:21,1,1,7,4
2015-05-08 15:48:22,1,1,7,3
2015-05-08 15:48:23,1,1,7,2
2015-05-08 15:48:24,1,1,7,3
2015-05-08 15:48:25,1,1,7,1
2015-05-08 15:48:26,1,3,7,1
2015-05-08 15:48:27,1,3,7,1
2015-05-08 15:48:28,1,4,7,1
2015-05-08 15:48:29,1,2,7,1
2015-05-08 15:48:30,1,0,7,1
2015-05-08 15:48:31,1,4,7,1
2015-05-08 15:48:32,1,1,7,1
2015-05-08 15:48:33,1,1,3,1
2015-05-08 15:48:34,1,8,1,1
2015-05-08 15:48:35,1,8,1,1
2015-05-08 15:48:36,1,8,1,8
2015-05-08 15:48:37,1,8,1,1
2015-05-08 15:48:38,2,8,1,1
2015-05-08 15:48:39,2,8,1,1
2015-05-08 15:48:40,2,8,8,1
2015-05-08 15:48:41,2,8,8,1
2015-05-08 15:48:42,2,8,8,1
2015-05-08 15:48:43,1,8,8,1
2015-05-08 15:48:44,1,1,8,1
2015-05-08 15:48:45,1,1,8,1
2015-05-08 15:48:46,1,3,8,1
2015-05-08 15:48:47,1,2,8,3
2015-05-08 15:48:48,1,2,8,1
2015-05-08 15:48:49,1,2,8,3
2015-05-08 15:48:50,1,2,8,3
2015-05-08 15:48:51,2,2,8,3
2015-05-08 15:48:52,2,6,8,3
2015-05-08 15:48:53,2,0,8,1
2015-05-08 15:48:54,2,0,8,3
2015-05-08 15:48:55,2,0,8,3
2015-05-08 15:48:56,3,0,8,3
