time,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,2FA454D2-F35D-45D6-BE5D-D848B409B713,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-23 14:55:15,7,6,2,0,2
2015-06-23 14:55:16,7,5,2,0,2
2015-06-23 14:55:17,7,7,2,0,2
2015-06-23 14:55:18,7,7,2,0,2
2015-06-23 14:55:19,7,5,0,0,2
2015-06-23 14:55:20,7,5,2,0,0
2015-06-23 14:55:21,7,5,2,0,2
2015-06-23 14:55:22,7,2,2,0,2
2015-06-23 14:55:23,7,5,2,0,2
2015-06-23 14:55:24,7,5,2,0,2
2015-06-23 14:55:25,7,6,2,0,2
2015-06-23 14:55:26,7,6,0,0,2
2015-06-23 14:55:27,7,7,0,0,2
2015-06-23 14:55:28,7,7,0,0,2
2015-06-23 14:55:29,7,7,0,0,2
2015-06-23 14:55:30,4,5,0,0,2
2015-06-23 14:55:31,4,5,0,0,2
2015-06-23 14:55:32,4,5,0,0,2
2015-06-23 14:55:33,4,5,0,0,2
2015-06-23 14:55:34,2,5,0,0,2
2015-06-23 14:55:35,2,2,0,0,2
2015-06-23 14:55:36,2,0,0,0,0
2015-06-23 14:55:37,2,0,0,0,0
2015-06-23 14:55:38,2,0,0,0,0
2015-06-23 14:55:39,2,0,0,0,0
2015-06-23 14:55:40,0,0,0,0,0
2015-06-23 14:55:41,0,0,0,0,0
2015-06-23 14:55:42,0,0,0,0,0
2015-06-23 14:55:43,0,0,0,0,0
