time,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-04-29 18:44:22,0,4,4,3
2015-04-29 18:44:23,0,3,3,4
2015-04-29 18:44:24,0,3,1,3
2015-04-29 18:44:25,0,1,8,8
2015-04-29 18:44:26,2,1,8,8
2015-04-29 18:44:27,2,1,8,8
2015-04-29 18:44:28,1,1,8,8
2015-04-29 18:44:29,1,1,8,8
2015-04-29 18:44:30,1,1,8,1
2015-04-29 18:44:31,1,1,8,1
2015-04-29 18:44:32,1,1,8,1
2015-04-29 18:44:33,1,8,8,1
2015-04-29 18:44:34,1,8,8,1
2015-04-29 18:44:35,1,8,8,1
2015-04-29 18:44:36,0,0,0,0
2015-04-29 18:44:37,0,0,0,0
2015-04-29 18:44:38,0,0,0,0
