time,yvonne,jonathan,christina,charles
2014-08-24 14:43:39,1,1,3,2
2014-08-24 14:43:40,1,1,3,8
2014-08-24 14:43:41,1,1,0,0
2014-08-24 14:43:42,1,2,0,0
2014-08-24 14:43:43,1,2,0,0
2014-08-24 14:43:44,1,2,0,0
2014-08-24 14:43:45,1,2,0,0
2014-08-24 14:43:46,0,0,0,0
2014-08-24 14:43:47,0,0,0,0
2014-08-24 14:43:48,0,0,0,0
