time,christina,charles_ipadair,yvonne,jonathan_iPad2,charles,jonathan,6EAD764A-E424-48EB-9672-03EF44679A5E
2014-03-15 13:00:42,2,4,4,3,2,4,8
2014-03-15 13:00:43,2,4,4,3,2,4,8
2014-03-15 13:00:44,2,4,4,4,2,4,8
2014-03-15 13:00:45,2,4,4,3,2,4,8
2014-03-15 13:00:46,2,4,4,3,2,4,4
2014-03-15 13:00:47,2,4,4,3,2,4,4
2014-03-15 13:00:48,2,4,4,3,2,4,8
2014-03-15 13:00:49,2,4,4,3,2,4,8
2014-03-15 13:00:50,2,3,4,8,2,4,3
2014-03-15 13:00:51,2,3,4,8,2,4,8
2014-03-15 13:00:52,2,3,4,8,2,4,8
2014-03-15 13:00:53,2,2,4,4,2,4,3
2014-03-15 13:00:54,2,2,4,4,2,4,3
2014-03-15 13:00:55,2,2,4,3,2,4,8
2014-03-15 13:00:56,2,2,4,3,2,4,8
2014-03-15 13:00:57,2,2,4,3,2,4,8
2014-03-15 13:00:58,2,2,4,3,2,7,8
2014-03-15 13:00:59,2,1,3,3,1,7,8
2014-03-15 13:01:00,1,3,3,3,1,7,8
2014-03-15 13:01:01,1,3,4,3,1,8,8
2014-03-15 13:01:02,1,3,4,3,1,2,3
2014-03-15 13:01:03,1,3,3,3,1,2,8
2014-03-15 13:01:04,1,3,2,3,1,2,3
2014-03-15 13:01:05,1,1,3,3,1,2,3
2014-03-15 13:01:06,1,2,3,3,1,2,3
2014-03-15 13:01:07,1,2,3,3,3,2,3
2014-03-15 13:01:08,1,1,3,3,3,3,3
2014-03-15 13:01:09,1,1,3,3,3,1,3
2014-03-15 13:01:10,1,1,3,3,3,1,3
2014-03-15 13:01:11,1,1,3,3,3,3,3
2014-03-15 13:01:12,1,1,3,3,3,1,3
2014-03-15 13:01:13,1,1,3,3,3,3,3
2014-03-15 13:01:14,1,1,3,3,3,1,3
2014-03-15 13:01:15,1,1,3,3,3,3,3
2014-03-15 13:01:16,1,1,3,3,3,3,3
2014-03-15 13:01:17,1,1,3,3,3,3,3
2014-03-15 13:01:18,1,1,3,3,3,3,3
2014-03-15 13:01:19,1,1,3,3,2,3,3
2014-03-15 13:01:20,1,2,3,3,2,2,8
2014-03-15 13:01:21,1,2,3,3,2,2,8
2014-03-15 13:01:22,1,1,3,3,2,2,3
2014-03-15 13:01:23,1,1,3,3,2,2,3
2014-03-15 13:01:24,1,1,3,3,2,2,3
2014-03-15 13:01:25,1,1,3,3,3,1,3
2014-03-15 13:01:26,1,1,3,3,1,1,3
2014-03-15 13:01:27,1,1,3,3,3,1,3
2014-03-15 13:01:28,1,1,3,3,3,1,3
2014-03-15 13:01:29,1,1,3,3,1,3,4
2014-03-15 13:01:30,1,1,3,3,3,3,3
2014-03-15 13:01:31,1,1,3,3,1,3,8
2014-03-15 13:01:32,1,1,3,3,1,3,8
2014-03-15 13:01:33,1,1,3,3,3,3,3
2014-03-15 13:01:34,1,1,3,3,3,3,3
2014-03-15 13:01:35,1,1,3,3,3,3,3
2014-03-15 13:01:36,1,1,3,3,3,3,3
2014-03-15 13:01:37,1,1,3,3,3,3,8
2014-03-15 13:01:38,1,1,3,3,1,3,8
2014-03-15 13:01:39,1,1,3,3,1,3,3
2014-03-15 13:01:40,1,1,3,1,1,3,8
2014-03-15 13:01:41,1,2,3,3,1,3,3
2014-03-15 13:01:42,1,2,3,1,1,3,3
2014-03-15 13:01:43,1,2,3,3,1,3,3
2014-03-15 13:01:44,2,2,3,3,1,3,8
2014-03-15 13:01:45,3,3,3,3,3,1,3
2014-03-15 13:01:46,4,3,3,3,3,4,8
2014-03-15 13:01:47,4,4,4,3,4,4,3
2014-03-15 13:01:48,3,4,4,4,4,4,3
2014-03-15 13:01:49,4,4,4,4,4,4,3
2014-03-15 13:01:50,4,4,4,4,4,4,3
2014-03-15 13:01:51,4,8,4,4,4,4,3
2014-03-15 13:01:52,4,8,4,4,4,4,3
2014-03-15 13:01:53,4,8,4,4,4,4,3
2014-03-15 13:01:54,4,8,4,4,4,4,3
2014-03-15 13:01:55,4,8,4,4,4,4,2
2014-03-15 13:01:56,4,8,4,4,4,4,2
2014-03-15 13:01:57,4,8,4,4,4,4,4
2014-03-15 13:01:58,4,8,4,4,4,4,4
2014-03-15 13:01:59,4,8,4,4,4,4,4
2014-03-15 13:02:00,4,8,4,4,4,4,4
2014-03-15 13:02:01,4,8,4,4,4,4,4
2014-03-15 13:02:02,4,4,4,4,4,4,3
2014-03-15 13:02:03,4,4,4,4,4,4,4
2014-03-15 13:02:04,4,4,4,4,4,4,4
2014-03-15 13:02:05,4,4,4,4,4,4,4
2014-03-15 13:02:06,4,4,4,4,4,4,4
2014-03-15 13:02:07,4,4,4,4,4,4,4
2014-03-15 13:02:08,4,4,4,4,4,4,4
2014-03-15 13:02:09,4,4,4,4,4,4,4
2014-03-15 13:02:10,4,4,4,4,4,4,4
2014-03-15 13:02:11,4,4,4,4,4,4,4
2014-03-15 13:02:12,4,4,4,4,4,4,4
2014-03-15 13:02:13,4,4,4,4,4,4,4
2014-03-15 13:02:14,4,4,4,4,4,4,4
2014-03-15 13:02:15,4,4,4,4,4,4,4
2014-03-15 13:02:16,4,4,4,4,4,4,3
2014-03-15 13:02:17,4,4,4,4,4,4,3
2014-03-15 13:02:18,4,4,4,4,4,4,3
2014-03-15 13:02:19,4,4,4,4,4,4,3
2014-03-15 13:02:20,4,4,4,4,4,4,3
2014-03-15 13:02:21,4,4,4,4,4,4,3
2014-03-15 13:02:22,4,4,4,4,4,4,4
2014-03-15 13:02:23,4,4,4,4,4,4,4
2014-03-15 13:02:24,4,4,4,4,4,4,3
2014-03-15 13:02:25,4,4,4,4,4,4,3
2014-03-15 13:02:26,4,4,4,4,4,4,4
2014-03-15 13:02:27,4,4,4,4,4,4,4
2014-03-15 13:02:28,4,4,4,4,4,4,4
2014-03-15 13:02:29,4,4,4,4,4,4,4
2014-03-15 13:02:30,4,4,4,4,4,4,4
2014-03-15 13:02:31,4,4,4,4,4,4,4
2014-03-15 13:02:32,4,4,4,4,4,4,4
2014-03-15 13:02:33,4,4,4,4,4,4,4
2014-03-15 13:02:34,4,4,4,4,4,4,4
2014-03-15 13:02:35,4,4,4,4,4,4,7
2014-03-15 13:02:36,4,4,4,4,4,4,4
2014-03-15 13:02:37,4,7,4,4,4,4,4
2014-03-15 13:02:38,4,4,4,4,4,3,7
2014-03-15 13:02:39,4,7,4,4,4,4,4
2014-03-15 13:02:40,4,7,4,4,4,4,4
2014-03-15 13:02:41,4,7,4,4,4,4,4
2014-03-15 13:02:42,4,7,4,4,4,4,4
2014-03-15 13:02:43,4,7,4,4,4,4,4
2014-03-15 13:02:44,4,7,4,4,4,4,4
2014-03-15 13:02:45,4,7,4,4,4,4,4
2014-03-15 13:02:46,4,7,4,4,4,4,4
2014-03-15 13:02:47,4,7,4,4,4,4,4
2014-03-15 13:02:48,4,7,4,4,4,4,4
2014-03-15 13:02:49,4,7,4,4,4,4,4
2014-03-15 13:02:50,4,7,7,4,4,4,4
2014-03-15 13:02:51,4,7,7,4,4,4,4
2014-03-15 13:02:52,4,7,7,4,4,4,7
2014-03-15 13:02:53,4,7,7,4,4,4,4
2014-03-15 13:02:54,4,7,4,4,4,4,4
2014-03-15 13:02:55,4,7,4,4,4,4,7
2014-03-15 13:02:56,4,7,4,4,4,4,4
2014-03-15 13:02:57,4,7,4,4,4,4,4
2014-03-15 13:02:58,4,7,4,4,4,4,4
2014-03-15 13:02:59,4,7,4,4,4,4,4
2014-03-15 13:03:00,4,7,4,4,4,4,4
2014-03-15 13:03:01,4,7,4,4,4,4,4
2014-03-15 13:03:02,4,4,8,4,4,4,4
2014-03-15 13:03:03,4,7,4,4,4,4,4
2014-03-15 13:03:04,4,7,7,4,4,4,4
2014-03-15 13:03:05,4,4,4,4,4,4,4
2014-03-15 13:03:06,4,7,7,4,4,4,4
2014-03-15 13:03:07,4,7,7,4,4,4,4
2014-03-15 13:03:08,4,4,7,4,4,4,4
2014-03-15 13:03:09,4,4,7,4,4,4,4
2014-03-15 13:03:10,4,7,7,4,4,4,4
2014-03-15 13:03:11,4,8,7,4,4,4,4
2014-03-15 13:03:12,4,7,7,4,4,4,4
2014-03-15 13:03:13,4,7,7,4,4,4,4
2014-03-15 13:03:14,4,7,7,4,4,4,4
2014-03-15 13:03:15,4,7,7,4,4,4,4
2014-03-15 13:03:16,4,7,4,4,4,4,4
2014-03-15 13:03:17,4,7,7,4,4,4,4
2014-03-15 13:03:18,4,7,7,4,4,4,3
2014-03-15 13:03:19,4,7,7,4,4,4,0
2014-03-15 13:03:20,4,7,7,4,4,4,0
2014-03-15 13:03:21,4,7,7,4,4,4,0
2014-03-15 13:03:22,4,8,7,4,4,4,2
2014-03-15 13:03:23,4,7,7,4,4,4,4
2014-03-15 13:03:24,4,7,4,4,4,4,4
2014-03-15 13:03:25,4,7,7,4,4,4,4
2014-03-15 13:03:26,4,7,7,4,4,4,4
