time,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-07 18:47:19,3,2,3,4
2015-05-07 18:47:20,3,1,3,4
2015-05-07 18:47:21,3,1,4,4
2015-05-07 18:47:22,3,1,2,2
2015-05-07 18:47:23,3,1,2,2
2015-05-07 18:47:24,3,1,2,2
2015-05-07 18:47:25,3,1,2,2
2015-05-07 18:47:26,3,2,2,2
2015-05-07 18:47:27,3,2,2,2
2015-05-07 18:47:28,3,1,2,2
2015-05-07 18:47:29,3,1,2,2
2015-05-07 18:47:30,3,1,2,2
2015-05-07 18:47:31,3,3,2,2
2015-05-07 18:47:32,3,3,2,2
2015-05-07 18:47:33,3,3,2,2
2015-05-07 18:47:34,2,1,2,2
2015-05-07 18:47:35,2,1,2,2
2015-05-07 18:47:36,2,2,2,2
2015-05-07 18:47:37,2,1,2,2
2015-05-07 18:47:38,2,1,2,2
2015-05-07 18:47:39,2,1,2,2
2015-05-07 18:47:40,2,1,2,2
2015-05-07 18:47:41,2,2,2,2
2015-05-07 18:47:42,2,2,2,2
2015-05-07 18:47:43,2,2,2,2
2015-05-07 18:47:44,2,2,2,2
2015-05-07 18:47:45,2,2,2,2
2015-05-07 18:47:46,1,2,2,2
2015-05-07 18:47:47,1,2,2,2
2015-05-07 18:47:48,3,2,2,2
2015-05-07 18:47:49,8,2,2,2
2015-05-07 18:47:50,8,2,2,2
2015-05-07 18:47:51,1,2,2,2
2015-05-07 18:47:52,3,2,2,2
2015-05-07 18:47:53,3,2,2,2
2015-05-07 18:47:54,1,2,2,2
2015-05-07 18:47:55,1,2,2,2
2015-05-07 18:47:56,3,2,2,2
2015-05-07 18:47:57,3,2,2,2
2015-05-07 18:47:58,3,2,2,2
2015-05-07 18:47:59,3,2,2,2
2015-05-07 18:48:00,3,2,2,2
2015-05-07 18:48:01,3,2,2,2
2015-05-07 18:48:02,3,2,2,2
2015-05-07 18:48:03,8,2,2,2
2015-05-07 18:48:04,3,2,2,2
2015-05-07 18:48:05,3,2,3,2
2015-05-07 18:48:06,3,2,3,2
2015-05-07 18:48:07,3,2,3,0
2015-05-07 18:48:08,8,2,3,0
2015-05-07 18:48:09,8,2,8,0
2015-05-07 18:48:10,8,2,2,0
2015-05-07 18:48:11,8,2,4,0
2015-05-07 18:48:12,8,2,4,2
2015-05-07 18:48:13,3,2,4,2
2015-05-07 18:48:14,3,2,4,2
2015-05-07 18:48:15,8,2,4,2
2015-05-07 18:48:16,8,2,3,2
2015-05-07 18:48:17,3,2,3,2
2015-05-07 18:48:18,8,2,3,2
2015-05-07 18:48:19,8,2,4,2
2015-05-07 18:48:20,8,2,4,5
2015-05-07 18:48:21,8,2,4,5
2015-05-07 18:48:22,8,2,4,5
2015-05-07 18:48:23,8,2,4,5
2015-05-07 18:48:24,8,2,4,5
2015-05-07 18:48:25,0,2,4,2
2015-05-07 18:48:26,0,2,4,2
2015-05-07 18:48:27,0,2,4,2
2015-05-07 18:48:28,0,2,4,2
2015-05-07 18:48:29,0,2,4,2
2015-05-07 18:48:30,0,2,4,2
2015-05-07 18:48:31,0,2,4,2
2015-05-07 18:48:32,0,2,4,2
2015-05-07 18:48:33,0,2,4,2
2015-05-07 18:48:34,0,2,4,2
2015-05-07 18:48:35,0,2,4,2
2015-05-07 18:48:36,0,2,4,2
2015-05-07 18:48:37,0,2,4,2
