time,charles_ipadair
2015-02-07 17:28:18,0
2015-02-07 17:28:19,0
2015-02-07 17:28:20,0
2015-02-07 17:28:21,0
2015-02-07 17:28:22,0
2015-02-07 17:28:23,0
2015-02-07 17:28:24,0
2015-02-07 17:28:25,0
2015-02-07 17:28:26,0
2015-02-07 17:28:27,0
2015-02-07 17:28:28,0
2015-02-07 17:28:29,0
2015-02-07 17:28:30,0
2015-02-07 17:28:31,0
2015-02-07 17:28:32,0
2015-02-07 17:28:33,0
2015-02-07 17:28:34,0
2015-02-07 17:28:35,0
2015-02-07 17:28:36,0
2015-02-07 17:28:37,0
2015-02-07 17:28:38,0
2015-02-07 17:28:39,0
2015-02-07 17:28:40,0
2015-02-07 17:28:41,0
2015-02-07 17:28:42,0
2015-02-07 17:28:43,0
2015-02-07 17:28:44,0
2015-02-07 17:28:45,0
2015-02-07 17:28:46,0
2015-02-07 17:28:47,0
2015-02-07 17:28:48,0
2015-02-07 17:28:49,0
2015-02-07 17:28:50,0
2015-02-07 17:28:51,0
2015-02-07 17:28:52,0
2015-02-07 17:28:53,0
2015-02-07 17:28:54,0
2015-02-07 17:28:55,0
2015-02-07 17:28:56,0
2015-02-07 17:28:57,0
2015-02-07 17:28:58,0
2015-02-07 17:28:59,0
2015-02-07 17:29:00,0
2015-02-07 17:29:01,0
2015-02-07 17:29:02,0
2015-02-07 17:29:03,0
2015-02-07 17:29:04,0
2015-02-07 17:29:05,0
2015-02-07 17:29:06,0
2015-02-07 17:29:07,0
2015-02-07 17:29:08,0
2015-02-07 17:29:09,0
2015-02-07 17:29:10,0
2015-02-07 17:29:11,0
2015-02-07 17:29:12,0
2015-02-07 17:29:13,0
2015-02-07 17:29:14,0
2015-02-07 17:29:15,0
2015-02-07 17:29:16,0
2015-02-07 17:29:17,0
2015-02-07 17:29:18,0
2015-02-07 17:29:19,0
2015-02-07 17:29:20,0
2015-02-07 17:29:21,0
2015-02-07 17:29:22,0
2015-02-07 17:29:23,0
2015-02-07 17:29:24,0
2015-02-07 17:29:25,0
2015-02-07 17:29:26,0
2015-02-07 17:29:27,0
2015-02-07 17:29:28,0
2015-02-07 17:29:29,0
2015-02-07 17:29:30,0
2015-02-07 17:29:31,0
2015-02-07 17:29:32,0
2015-02-07 17:29:33,0
2015-02-07 17:29:34,0
2015-02-07 17:29:35,0
2015-02-07 17:29:36,0
2015-02-07 17:29:37,2
2015-02-07 17:29:38,7
2015-02-07 17:29:39,7
2015-02-07 17:29:40,7
2015-02-07 17:29:41,7
2015-02-07 17:29:42,7
2015-02-07 17:29:43,7
2015-02-07 17:29:44,7
2015-02-07 17:29:45,7
2015-02-07 17:29:46,6
2015-02-07 17:29:47,6
2015-02-07 17:29:48,7
2015-02-07 17:29:49,7
2015-02-07 17:29:50,7
2015-02-07 17:29:51,5
2015-02-07 17:29:52,5
2015-02-07 17:29:53,5
2015-02-07 17:29:54,7
2015-02-07 17:29:55,7
2015-02-07 17:29:56,7
2015-02-07 17:29:57,5
2015-02-07 17:29:58,5
2015-02-07 17:29:59,7
2015-02-07 17:30:00,5
2015-02-07 17:30:01,7
2015-02-07 17:30:02,7
2015-02-07 17:30:03,7
2015-02-07 17:30:04,7
2015-02-07 17:30:05,7
2015-02-07 17:30:06,7
2015-02-07 17:30:07,7
2015-02-07 17:30:08,7
2015-02-07 17:30:09,7
2015-02-07 17:30:10,7
2015-02-07 17:30:11,7
2015-02-07 17:30:12,7
2015-02-07 17:30:13,7
2015-02-07 17:30:14,7
2015-02-07 17:30:15,7
2015-02-07 17:30:16,7
2015-02-07 17:30:17,7
2015-02-07 17:30:18,5
2015-02-07 17:30:19,7
2015-02-07 17:30:20,7
2015-02-07 17:30:21,7
2015-02-07 17:30:22,7
2015-02-07 17:30:23,7
2015-02-07 17:30:24,7
2015-02-07 17:30:25,7
2015-02-07 17:30:26,7
2015-02-07 17:30:27,7
2015-02-07 17:30:28,7
2015-02-07 17:30:29,7
2015-02-07 17:30:30,6
2015-02-07 17:30:31,6
2015-02-07 17:30:32,6
2015-02-07 17:30:33,6
2015-02-07 17:30:34,7
2015-02-07 17:30:35,7
2015-02-07 17:30:36,8
2015-02-07 17:30:37,8
2015-02-07 17:30:38,7
2015-02-07 17:30:39,2
2015-02-07 17:30:40,2
2015-02-07 17:30:41,2
2015-02-07 17:30:42,0
2015-02-07 17:30:43,0
2015-02-07 17:30:44,0
2015-02-07 17:30:45,0
2015-02-07 17:30:46,0
2015-02-07 17:30:47,0
2015-02-07 17:30:48,0
2015-02-07 17:30:49,0
2015-02-07 17:30:50,0
2015-02-07 17:30:51,0
2015-02-07 17:30:52,0
2015-02-07 17:30:53,0
2015-02-07 17:30:54,0
2015-02-07 17:30:55,0
2015-02-07 17:30:56,0
2015-02-07 17:30:57,0
2015-02-07 17:30:58,2
2015-02-07 17:30:59,5
2015-02-07 17:31:00,5
2015-02-07 17:31:01,7
2015-02-07 17:31:02,7
2015-02-07 17:31:03,5
2015-02-07 17:31:04,7
2015-02-07 17:31:05,5
2015-02-07 17:31:06,8
2015-02-07 17:31:07,8
2015-02-07 17:31:08,8
2015-02-07 17:31:09,8
2015-02-07 17:31:10,8
2015-02-07 17:31:11,7
2015-02-07 17:31:12,7
2015-02-07 17:31:13,7
2015-02-07 17:31:14,7
2015-02-07 17:31:15,7
2015-02-07 17:31:16,7
2015-02-07 17:31:17,7
2015-02-07 17:31:18,7
2015-02-07 17:31:19,5
2015-02-07 17:31:20,7
2015-02-07 17:31:21,7
2015-02-07 17:31:22,7
2015-02-07 17:31:23,7
2015-02-07 17:31:24,0
2015-02-07 17:31:25,0
2015-02-07 17:31:26,7
2015-02-07 17:31:27,7
2015-02-07 17:31:28,7
2015-02-07 17:31:29,7
2015-02-07 17:31:30,7
2015-02-07 17:31:31,7
2015-02-07 17:31:32,7
2015-02-07 17:31:33,7
2015-02-07 17:31:34,7
2015-02-07 17:31:35,7
2015-02-07 17:31:36,7
2015-02-07 17:31:37,7
2015-02-07 17:31:38,7
2015-02-07 17:31:39,7
2015-02-07 17:31:40,7
2015-02-07 17:31:41,7
2015-02-07 17:31:42,7
2015-02-07 17:31:43,7
2015-02-07 17:31:44,7
2015-02-07 17:31:45,7
2015-02-07 17:31:46,7
2015-02-07 17:31:47,7
2015-02-07 17:31:48,7
2015-02-07 17:31:49,7
2015-02-07 17:31:50,7
2015-02-07 17:31:51,7
2015-02-07 17:31:52,7
2015-02-07 17:31:53,7
2015-02-07 17:31:54,7
2015-02-07 17:31:55,7
