time,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B,7FC04E34-F3AE-4764-9432-DD032ED6C36B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,275913F5-90E9-4C82-B94C-29A8AA3B4C57,2FA454D2-F35D-45D6-BE5D-D848B409B713
2015-03-21 23:56:46,1,8,1,1,8,1
2015-03-21 23:56:47,1,8,1,1,8,1
2015-03-21 23:56:48,1,8,1,1,8,1
2015-03-21 23:56:49,1,8,1,1,8,1
2015-03-21 23:56:50,1,1,1,1,8,1
2015-03-21 23:56:51,1,1,1,1,8,1
2015-03-21 23:56:52,1,1,1,1,8,1
2015-03-21 23:56:53,1,1,1,1,8,1
2015-03-21 23:56:54,1,1,1,1,8,1
2015-03-21 23:56:55,1,1,1,1,8,1
2015-03-21 23:56:56,1,1,1,1,8,1
2015-03-21 23:56:57,1,1,1,1,8,1
2015-03-21 23:56:58,1,1,1,1,8,1
2015-03-21 23:56:59,1,1,1,1,8,1
2015-03-21 23:57:00,1,1,1,1,8,1
2015-03-21 23:57:01,1,1,1,1,8,1
2015-03-21 23:57:02,1,1,1,1,8,1
2015-03-21 23:57:03,1,1,1,1,8,1
2015-03-21 23:57:04,1,1,1,1,8,1
2015-03-21 23:57:05,1,1,1,1,8,1
2015-03-21 23:57:06,1,1,1,1,8,1
2015-03-21 23:57:07,1,1,1,1,8,1
2015-03-21 23:57:08,1,1,1,1,8,1
2015-03-21 23:57:09,1,1,1,1,8,1
2015-03-21 23:57:10,1,1,1,1,8,1
2015-03-21 23:57:11,1,1,1,1,8,1
2015-03-21 23:57:12,1,1,1,1,8,1
2015-03-21 23:57:13,1,1,1,1,8,1
2015-03-21 23:57:14,1,1,1,1,1,1
2015-03-21 23:57:15,1,1,1,1,1,1
2015-03-21 23:57:16,1,1,1,1,1,1
