time,yvonne,charles,christina
2013-04-21 11:56:33,7,7,0
2013-04-21 11:56:34,7,7,0
2013-04-21 11:56:35,7,4,0
2013-04-21 11:56:36,7,4,0
2013-04-21 11:56:37,7,3,0
2013-04-21 11:56:38,7,0,0
2013-04-21 11:56:39,7,0,0
2013-04-21 11:56:40,7,0,0
2013-04-21 11:56:41,7,0,0
2013-04-21 11:56:42,7,0,0
2013-04-21 11:56:43,7,0,0
2013-04-21 11:56:44,7,0,0
2013-04-21 11:56:45,7,0,0
2013-04-21 11:56:46,6,0,0
2013-04-21 11:56:47,6,0,0
2013-04-21 11:56:48,6,0,0
2013-04-21 11:56:49,6,0,0
2013-04-21 11:56:50,6,0,0
2013-04-21 11:56:51,7,0,0
2013-04-21 11:56:52,7,0,2
2013-04-21 11:56:53,7,0,7
2013-04-21 11:56:54,7,0,7
2013-04-21 11:56:55,7,0,7
2013-04-21 11:56:56,7,0,7
2013-04-21 11:56:57,7,0,7
2013-04-21 11:56:58,7,0,7
2013-04-21 11:56:59,7,0,7
2013-04-21 11:57:00,7,0,7
2013-04-21 11:57:01,7,0,4
2013-04-21 11:57:02,7,0,4
2013-04-21 11:57:03,6,0,4
2013-04-21 11:57:04,7,0,2
2013-04-21 11:57:05,6,0,0
2013-04-21 11:57:06,6,0,0
2013-04-21 11:57:07,6,0,0
2013-04-21 11:57:08,6,0,0
2013-04-21 11:57:09,6,2,0
2013-04-21 11:57:10,7,5,0
2013-04-21 11:57:11,7,4,0
2013-04-21 11:57:12,7,4,0
2013-04-21 11:57:13,4,4,0
2013-04-21 11:57:14,4,4,0
2013-04-21 11:57:15,4,4,0
2013-04-21 11:57:16,4,0,0
2013-04-21 11:57:17,4,4,0
2013-04-21 11:57:18,4,4,0
2013-04-21 11:57:19,4,4,0
2013-04-21 11:57:20,4,4,5
2013-04-21 11:57:21,4,6,7
2013-04-21 11:57:22,4,6,4
2013-04-21 11:57:23,4,6,7
2013-04-21 11:57:24,4,6,7
2013-04-21 11:57:25,4,7,7
2013-04-21 11:57:26,4,6,7
2013-04-21 11:57:27,4,6,7
2013-04-21 11:57:28,4,7,7
2013-04-21 11:57:29,4,6,7
2013-04-21 11:57:30,4,6,7
2013-04-21 11:57:31,4,7,4
2013-04-21 11:57:32,4,7,4
2013-04-21 11:57:33,4,6,4
2013-04-21 11:57:34,4,6,0
2013-04-21 11:57:35,4,6,0
2013-04-21 11:57:36,4,6,0
2013-04-21 11:57:37,4,6,0
2013-04-21 11:57:38,4,7,0
2013-04-21 11:57:39,4,7,2
2013-04-21 11:57:40,4,7,2
2013-04-21 11:57:41,4,7,2
2013-04-21 11:57:42,4,7,2
2013-04-21 11:57:43,4,7,2
2013-04-21 11:57:44,4,7,6
2013-04-21 11:57:45,4,7,2
2013-04-21 11:57:46,4,7,2
2013-04-21 11:57:47,4,7,2
2013-04-21 11:57:48,4,7,2
2013-04-21 11:57:49,4,7,2
2013-04-21 11:57:50,4,7,2
2013-04-21 11:57:51,4,7,2
2013-04-21 11:57:52,4,7,2
2013-04-21 11:57:53,4,7,2
2013-04-21 11:57:54,4,7,8
2013-04-21 11:57:55,4,7,8
2013-04-21 11:57:56,4,7,7
2013-04-21 11:57:57,4,7,7
2013-04-21 11:57:58,4,7,7
2013-04-21 11:57:59,4,7,7
2013-04-21 11:58:00,4,7,7
2013-04-21 11:58:01,4,7,7
2013-04-21 11:58:02,4,7,6
2013-04-21 11:58:03,4,7,7
2013-04-21 11:58:04,4,7,7
2013-04-21 11:58:05,4,7,7
2013-04-21 11:58:06,4,7,7
2013-04-21 11:58:07,4,4,7
2013-04-21 11:58:08,4,4,7
2013-04-21 11:58:09,4,4,7
2013-04-21 11:58:10,4,7,4
2013-04-21 11:58:11,0,4,4
2013-04-21 11:58:12,0,4,2
2013-04-21 11:58:13,0,4,2
2013-04-21 11:58:14,0,4,2
2013-04-21 11:58:15,0,4,2
2013-04-21 11:58:16,0,4,2
2013-04-21 11:58:17,0,4,2
2013-04-21 11:58:18,0,4,2
2013-04-21 11:58:19,0,4,2
2013-04-21 11:58:20,0,6,2
2013-04-21 11:58:21,0,6,2
2013-04-21 11:58:22,0,7,2
2013-04-21 11:58:23,0,8,2
2013-04-21 11:58:24,0,6,2
2013-04-21 11:58:25,0,6,2
2013-04-21 11:58:26,0,6,2
2013-04-21 11:58:27,0,7,2
2013-04-21 11:58:28,2,7,2
2013-04-21 11:58:29,2,7,2
2013-04-21 11:58:30,2,4,2
2013-04-21 11:58:31,2,4,2
2013-04-21 11:58:32,2,0,2
2013-04-21 11:58:33,6,0,2
2013-04-21 11:58:34,6,0,2
2013-04-21 11:58:35,6,0,2
2013-04-21 11:58:36,6,0,2
2013-04-21 11:58:37,2,2,2
2013-04-21 11:58:38,2,2,2
2013-04-21 11:58:39,2,2,2
2013-04-21 11:58:40,2,1,0
2013-04-21 11:58:41,2,1,2
2013-04-21 11:58:42,1,1,2
2013-04-21 11:58:43,2,1,2
2013-04-21 11:58:44,2,1,2
2013-04-21 11:58:45,2,2,2
2013-04-21 11:58:46,2,2,0
2013-04-21 11:58:47,2,2,2
2013-04-21 11:58:48,0,2,2
2013-04-21 11:58:49,6,2,2
2013-04-21 11:58:50,6,2,2
2013-04-21 11:58:51,6,2,2
2013-04-21 11:58:52,6,2,0
2013-04-21 11:58:53,6,2,2
2013-04-21 11:58:54,2,2,2
2013-04-21 11:58:55,2,2,2
2013-04-21 11:58:56,2,2,2
2013-04-21 11:58:57,2,2,2
2013-04-21 11:58:58,2,2,2
2013-04-21 11:58:59,0,2,2
2013-04-21 11:59:00,2,2,2
2013-04-21 11:59:01,2,2,2
2013-04-21 11:59:02,2,2,2
2013-04-21 11:59:03,2,2,2
2013-04-21 11:59:04,2,2,2
2013-04-21 11:59:05,2,2,2
2013-04-21 11:59:06,2,5,2
2013-04-21 11:59:07,2,5,2
2013-04-21 11:59:08,2,5,0
2013-04-21 11:59:09,2,5,2
2013-04-21 11:59:10,6,5,2
2013-04-21 11:59:11,2,7,2
2013-04-21 11:59:12,2,7,2
2013-04-21 11:59:13,2,7,2
2013-04-21 11:59:14,2,7,2
2013-04-21 11:59:15,2,7,2
2013-04-21 11:59:16,6,7,5
2013-04-21 11:59:17,2,7,5
2013-04-21 11:59:18,2,7,5
