time,yvonne,christina,charles,jonathan
2014-08-24 15:11:00,4,4,4,4
2014-08-24 15:11:01,4,4,4,4
2014-08-24 15:11:02,4,4,4,8
2014-08-24 15:11:03,4,4,4,8
2014-08-24 15:11:04,4,4,4,8
2014-08-24 15:11:05,7,4,4,7
2014-08-24 15:11:06,7,4,4,8
2014-08-24 15:11:07,4,4,4,8
2014-08-24 15:11:08,4,4,4,8
2014-08-24 15:11:09,4,4,4,8
2014-08-24 15:11:10,4,4,4,3
2014-08-24 15:11:11,4,4,4,3
2014-08-24 15:11:12,4,4,4,3
2014-08-24 15:11:13,4,4,4,3
2014-08-24 15:11:14,4,4,4,8
2014-08-24 15:11:15,4,4,4,8
2014-08-24 15:11:16,4,4,4,7
2014-08-24 15:11:17,4,4,4,7
2014-08-24 15:11:18,4,4,4,7
2014-08-24 15:11:19,4,4,4,7
2014-08-24 15:11:20,4,4,4,4
2014-08-24 15:11:21,4,4,4,4
2014-08-24 15:11:22,7,7,7,8
2014-08-24 15:11:23,7,7,7,7
2014-08-24 15:11:24,7,7,7,7
2014-08-24 15:11:25,7,7,7,7
2014-08-24 15:11:26,7,7,7,7
2014-08-24 15:11:27,7,7,7,7
2014-08-24 15:11:28,7,7,7,7
2014-08-24 15:11:29,7,7,7,7
2014-08-24 15:11:30,7,7,7,7
2014-08-24 15:11:31,7,7,7,7
2014-08-24 15:11:32,7,7,7,7
2014-08-24 15:11:33,7,7,7,7
2014-08-24 15:11:34,7,7,7,7
2014-08-24 15:11:35,7,7,7,4
2014-08-24 15:11:36,7,7,7,7
2014-08-24 15:11:37,7,7,7,4
2014-08-24 15:11:38,7,7,3,7
2014-08-24 15:11:39,7,3,3,7
2014-08-24 15:11:40,7,3,1,8
2014-08-24 15:11:41,8,3,1,8
2014-08-24 15:11:42,8,8,1,8
2014-08-24 15:11:43,1,8,1,8
2014-08-24 15:11:44,1,8,1,8
2014-08-24 15:11:45,1,8,1,8
2014-08-24 15:11:46,1,8,1,8
2014-08-24 15:11:47,1,8,1,8
2014-08-24 15:11:48,1,8,1,7
2014-08-24 15:11:49,1,8,1,8
2014-08-24 15:11:50,8,8,1,7
2014-08-24 15:11:51,8,8,1,7
2014-08-24 15:11:52,8,8,1,7
2014-08-24 15:11:53,8,7,1,7
2014-08-24 15:11:54,1,8,1,7
2014-08-24 15:11:55,1,3,1,7
2014-08-24 15:11:56,1,1,1,3
2014-08-24 15:11:57,1,1,1,1
2014-08-24 15:11:58,1,1,1,1
2014-08-24 15:11:59,1,1,1,1
2014-08-24 15:12:00,1,1,1,1
2014-08-24 15:12:01,1,1,1,1
2014-08-24 15:12:02,8,1,1,1
2014-08-24 15:12:03,1,1,1,1
2014-08-24 15:12:04,1,1,1,1
2014-08-24 15:12:05,8,1,1,1
2014-08-24 15:12:06,8,1,1,1
2014-08-24 15:12:07,8,1,1,1
2014-08-24 15:12:08,8,1,1,1
2014-08-24 15:12:09,8,1,1,1
2014-08-24 15:12:10,8,1,1,1
2014-08-24 15:12:11,1,1,1,1
2014-08-24 15:12:12,1,1,1,1
2014-08-24 15:12:13,1,1,1,1
2014-08-24 15:12:14,1,1,1,1
2014-08-24 15:12:15,1,1,1,1
2014-08-24 15:12:16,1,1,1,1
2014-08-24 15:12:17,1,1,1,1
2014-08-24 15:12:18,1,1,1,1
2014-08-24 15:12:19,1,1,1,1
2014-08-24 15:12:20,1,1,1,1
2014-08-24 15:12:21,1,1,1,1
2014-08-24 15:12:22,1,3,1,1
2014-08-24 15:12:23,1,3,1,1
2014-08-24 15:12:24,1,1,1,1
2014-08-24 15:12:25,1,1,1,1
2014-08-24 15:12:26,1,1,1,1
2014-08-24 15:12:27,1,1,1,1
2014-08-24 15:12:28,1,1,1,1
2014-08-24 15:12:29,1,1,1,1
2014-08-24 15:12:30,1,1,1,1
2014-08-24 15:12:31,0,0,0,0
2014-08-24 15:12:32,0,0,0,0
