time,charles_ipadair,charles,christina,yvonne,jonathan_iPad2,jonathan
2014-03-15 12:38:17,8,2,2,4,4,6
2014-03-15 12:38:18,8,2,2,4,4,6
2014-03-15 12:38:19,8,2,2,4,4,6
2014-03-15 12:38:20,8,2,2,6,4,6
2014-03-15 12:38:21,8,2,2,6,4,6
2014-03-15 12:38:22,8,2,2,6,4,7
2014-03-15 12:38:23,8,2,2,4,4,7
2014-03-15 12:38:24,8,2,2,6,4,7
2014-03-15 12:38:25,8,2,2,6,4,6
2014-03-15 12:38:26,8,2,2,6,4,6
2014-03-15 12:38:27,8,2,2,6,4,6
2014-03-15 12:38:28,4,2,2,6,4,6
2014-03-15 12:38:29,4,2,2,6,4,6
2014-03-15 12:38:30,4,2,2,6,4,7
2014-03-15 12:38:31,4,2,2,4,4,7
2014-03-15 12:38:32,4,2,2,6,4,7
2014-03-15 12:38:33,4,2,2,6,4,7
2014-03-15 12:38:34,4,2,2,6,4,7
2014-03-15 12:38:35,8,2,2,6,4,7
2014-03-15 12:38:36,4,2,2,6,4,7
2014-03-15 12:38:37,4,2,2,6,8,6
2014-03-15 12:38:38,8,2,2,4,4,6
2014-03-15 12:38:39,4,3,2,4,4,6
2014-03-15 12:38:40,4,2,2,6,4,6
2014-03-15 12:38:41,8,3,2,6,4,6
2014-03-15 12:38:42,8,8,2,6,4,6
2014-03-15 12:38:43,8,3,2,4,4,6
2014-03-15 12:38:44,8,2,2,6,4,6
2014-03-15 12:38:45,8,2,2,4,4,6
2014-03-15 12:38:46,8,2,2,4,4,6
2014-03-15 12:38:47,8,2,2,4,4,7
2014-03-15 12:38:48,8,2,2,7,4,7
2014-03-15 12:38:49,8,2,2,4,4,7
2014-03-15 12:38:50,8,2,2,4,4,7
2014-03-15 12:38:51,8,2,2,4,4,7
2014-03-15 12:38:52,8,2,2,4,4,7
2014-03-15 12:38:53,8,2,2,4,4,4
2014-03-15 12:38:54,8,8,2,4,8,4
2014-03-15 12:38:55,8,8,2,7,8,7
2014-03-15 12:38:56,8,2,2,7,4,7
2014-03-15 12:38:57,8,2,2,7,4,7
2014-03-15 12:38:58,8,2,2,7,4,7
2014-03-15 12:38:59,8,8,2,6,8,7
2014-03-15 12:39:00,8,8,2,4,8,4
2014-03-15 12:39:01,8,8,2,7,8,7
2014-03-15 12:39:02,3,2,2,7,8,7
2014-03-15 12:39:03,8,2,2,7,8,7
