time,charles,yvonne,christina,jonathan
2014-08-24 16:04:13,0,0,4,2
2014-08-24 16:04:14,0,0,4,2
2014-08-24 16:04:15,0,0,4,2
2014-08-24 16:04:16,0,0,4,2
2014-08-24 16:04:17,0,0,0,2
2014-08-24 16:04:18,0,0,0,0
2014-08-24 16:04:19,0,0,0,0
2014-08-24 16:04:20,0,0,0,0
2014-08-24 16:04:21,0,2,0,0
2014-08-24 16:04:22,0,8,2,0
2014-08-24 16:04:23,0,8,4,0
2014-08-24 16:04:24,0,8,4,0
2014-08-24 16:04:25,0,6,4,0
2014-08-24 16:04:26,0,8,4,2
2014-08-24 16:04:27,0,8,4,2
2014-08-24 16:04:28,0,8,4,2
2014-08-24 16:04:29,0,8,4,2
2014-08-24 16:04:30,0,4,4,2
2014-08-24 16:04:31,0,8,4,2
2014-08-24 16:04:32,0,7,4,2
2014-08-24 16:04:33,0,8,7,2
2014-08-24 16:04:34,0,8,4,2
2014-08-24 16:04:35,0,8,4,2
2014-08-24 16:04:36,0,0,4,2
2014-08-24 16:04:37,0,0,3,2
2014-08-24 16:04:38,0,0,3,3
2014-08-24 16:04:39,0,0,1,3
2014-08-24 16:04:40,0,0,1,4
2014-08-24 16:04:41,0,0,1,4
2014-08-24 16:04:42,0,0,1,7
2014-08-24 16:04:43,0,0,3,6
2014-08-24 16:04:44,0,0,4,6
2014-08-24 16:04:45,0,0,4,6
2014-08-24 16:04:46,0,0,4,6
2014-08-24 16:04:47,0,0,7,6
2014-08-24 16:04:48,2,0,7,6
2014-08-24 16:04:49,2,0,8,6
2014-08-24 16:04:50,2,0,7,6
2014-08-24 16:04:51,2,0,7,6
2014-08-24 16:04:52,2,0,7,7
2014-08-24 16:04:53,2,0,8,8
2014-08-24 16:04:54,2,0,8,8
2014-08-24 16:04:55,1,0,7,8
2014-08-24 16:04:56,3,0,7,8
2014-08-24 16:04:57,3,0,4,8
2014-08-24 16:04:58,8,0,4,8
2014-08-24 16:04:59,7,0,4,8
2014-08-24 16:05:00,8,0,4,8
2014-08-24 16:05:01,4,0,4,7
2014-08-24 16:05:02,4,0,2,4
2014-08-24 16:05:03,4,0,2,4
2014-08-24 16:05:04,4,0,2,4
2014-08-24 16:05:05,4,0,2,2
2014-08-24 16:05:06,3,0,3,2
2014-08-24 16:05:07,3,0,3,2
2014-08-24 16:05:08,3,0,3,2
2014-08-24 16:05:09,3,0,3,2
2014-08-24 16:05:10,3,0,4,3
2014-08-24 16:05:11,3,0,4,3
2014-08-24 16:05:12,2,0,4,3
2014-08-24 16:05:13,2,0,4,3
2014-08-24 16:05:14,2,0,4,3
2014-08-24 16:05:15,2,0,4,3
2014-08-24 16:05:16,2,0,4,3
2014-08-24 16:05:17,2,0,2,3
2014-08-24 16:05:18,3,0,2,3
2014-08-24 16:05:19,2,0,2,3
2014-08-24 16:05:20,8,0,2,3
2014-08-24 16:05:21,8,0,4,3
2014-08-24 16:05:22,8,0,4,3
2014-08-24 16:05:23,4,0,4,3
2014-08-24 16:05:24,4,0,4,3
2014-08-24 16:05:25,4,0,4,3
