time,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-03 13:05:52,0,0
2015-06-03 13:05:53,0,0
2015-06-03 13:05:54,0,0
2015-06-03 13:05:55,0,0
2015-06-03 13:05:56,0,0
2015-06-03 13:05:57,0,0
2015-06-03 13:05:58,0,0
2015-06-03 13:05:59,0,0
2015-06-03 13:06:00,0,0
2015-06-03 13:06:01,0,0
2015-06-03 13:06:02,0,0
2015-06-03 13:06:03,0,0
2015-06-03 13:06:04,0,0
2015-06-03 13:06:05,0,0
2015-06-03 13:06:06,0,0
2015-06-03 13:06:07,0,0
2015-06-03 13:06:08,0,0
2015-06-03 13:06:09,0,0
2015-06-03 13:06:10,0,0
2015-06-03 13:06:11,0,0
2015-06-03 13:06:12,0,0
2015-06-03 13:06:13,0,0
2015-06-03 13:06:14,0,0
2015-06-03 13:06:15,0,0
2015-06-03 13:06:16,0,0
2015-06-03 13:06:17,0,0
2015-06-03 13:06:18,0,0
2015-06-03 13:06:19,0,0
2015-06-03 13:06:20,0,0
2015-06-03 13:06:21,0,0
2015-06-03 13:06:22,0,0
2015-06-03 13:06:23,0,0
2015-06-03 13:06:24,0,0
2015-06-03 13:06:25,0,0
2015-06-03 13:06:26,0,0
2015-06-03 13:06:27,0,0
2015-06-03 13:06:28,0,0
2015-06-03 13:06:29,0,0
2015-06-03 13:06:30,0,0
2015-06-03 13:06:31,0,0
2015-06-03 13:06:32,0,0
2015-06-03 13:06:33,0,0
2015-06-03 13:06:34,0,0
2015-06-03 13:06:35,0,0
2015-06-03 13:06:36,0,0
2015-06-03 13:06:37,0,0
2015-06-03 13:06:38,0,0
2015-06-03 13:06:39,0,0
2015-06-03 13:06:40,0,0
2015-06-03 13:06:41,0,0
2015-06-03 13:06:42,0,0
2015-06-03 13:06:43,0,0
2015-06-03 13:06:44,0,0
2015-06-03 13:06:45,0,0
2015-06-03 13:06:46,0,0
2015-06-03 13:06:47,0,0
2015-06-03 13:06:48,0,0
2015-06-03 13:06:49,0,0
2015-06-03 13:06:50,0,0
2015-06-03 13:06:51,0,0
2015-06-03 13:06:52,0,0
2015-06-03 13:06:53,0,0
2015-06-03 13:06:54,0,0
2015-06-03 13:06:55,0,0
2015-06-03 13:06:56,0,0
2015-06-03 13:06:57,0,0
2015-06-03 13:06:58,0,0
2015-06-03 13:06:59,0,0
2015-06-03 13:07:00,0,0
2015-06-03 13:07:01,0,0
2015-06-03 13:07:02,0,0
2015-06-03 13:07:03,0,0
2015-06-03 13:07:04,0,0
2015-06-03 13:07:05,0,0
2015-06-03 13:07:06,0,0
2015-06-03 13:07:07,0,0
2015-06-03 13:07:08,0,0
2015-06-03 13:07:09,0,0
2015-06-03 13:07:10,0,0
2015-06-03 13:07:11,0,0
